 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 14.0    14.0    14.0    3.0    15.0    0.0    0.0    0.0    48.389    4.743    48.389    48.892    52.614    53.552  
 337.0    329.0    14.0    3.0    335.0    1.0    1.0    0.0    60.011    4.747    60.011    60.515    64.239    66.56  
 263.0    270.0    14.0    3.0    265.0    1.0    1.0    0.0    69.979    4.734    69.979    70.483    74.196    75.215  
 246.0    251.0    14.0    3.0    245.0    1.0    1.0    0.0    81.016    4.74    81.016    81.519    85.237    86.607  
 306.0    297.0    14.0    3.0    305.0    1.0    1.0    0.0    92.688    4.742    92.688    93.192    96.912    98.365  
 233.0    238.0    14.0    3.0    235.0    1.0    0.0    1.0    103.804    4.735    103.804    104.307    108.02    109.99  
 64.0    64.0    14.0    3.0    65.0    0.0    0.0    0.0    115.381    4.733    115.381    115.884    119.595    120.615  
 181.0    191.0    14.0    3.0    185.0    1.0    1.0    0.0    125.485    4.736    125.485    125.989    129.703    131.806  
 51.0    51.0    14.0    3.0    55.0    0.0    0.0    0.0    135.394    4.734    135.394    135.898    139.61    140.579  
 293.0    298.0    14.0    3.0    295.0    1.0    1.0    0.0    147.121    4.733    147.121    147.624    151.335    153.205  
 8.0    8.0    14.0    3.0    5.0    0.0    0.0    0.0    157.515    4.745    157.516    158.019    161.743    164.213  
 214.0    205.0    14.0    3.0    215.0    1.0    1.0    0.0    168.904    4.732    168.904    169.408    173.118    174.22  
 143.0    143.0    14.0    3.0    145.0    0.0    1.0    1.0    179.178    4.731    179.178    179.682    183.392    185.395  
 356.0    347.0    14.0    3.0    355.0    1.0    0.0    1.0    189.503    4.731    189.503    190.006    193.716    194.885  
 43.0    43.0    14.0    3.0    45.0    0.0    0.0    0.0    199.606    4.735    199.606    200.11    203.823    205.259  
 97.0    97.0    14.0    3.0    95.0    0.0    0.0    0.0    211.094    4.739    211.094    211.598    215.315    216.167  
 129.0    129.0    14.0    3.0    125.0    0.0    1.0    1.0    222.576    4.732    222.576    223.078    226.79    228.392  
 259.0    253.0    14.0    3.0    255.0    1.0    999.0    999.0    233.101    4.747    233.101    233.607    237.331    239.848  
 196.0    206.0    14.0    3.0    195.0    1.0    1.0    0.0    244.021    4.736    244.021    244.525    248.238    249.608  
 83.0    83.0    14.0    3.0    85.0    0.0    0.0    0.0    255.48    4.735    255.48    255.984    259.697    261.033  
 226.0    219.0    14.0    3.0    225.0    1.0    0.0    1.0    266.449    4.74    266.449    266.953    270.672    271.957  
 279.0    289.0    14.0    3.0    275.0    1.0    1.0    0.0    277.963    4.734    277.963    278.466    282.18    283.782  
 32.0    32.0    14.0    3.0    35.0    0.0    0.0    0.0    288.38    4.742    288.38    288.884    292.604    293.589  
 133.0    133.0    14.0    3.0    135.0    0.0    0.0    0.0    299.236    4.745    299.236    299.739    303.462    304.347  
 318.0    328.0    14.0    3.0    315.0    1.0    1.0    0.0    310.652    4.737    310.652    311.156    314.87    315.956  
 161.0    161.0    14.0    3.0    165.0    0.0    1.0    1.0    322.101    4.745    322.101    322.606    326.328    327.532  
 21.0    21.0    14.0    3.0    25.0    0.0    0.0    0.0    332.939    4.732    332.939    333.442    337.153    338.122  
 112.0    112.0    14.0    3.0    115.0    0.0    1.0    1.0    344.263    4.733    344.263    344.768    348.477    349.93  
 322.0    327.0    14.0    3.0    325.0    1.0    1.0    0.0    355.139    4.748    355.139    355.644    359.37    361.439  
 178.0    178.0    14.0    3.0    175.0    0.0    0.0    0.0    365.969    4.742    365.969    366.474    370.193    371.68  
 283.0    277.0    14.0    3.0    285.0    1.0    1.0    0.0    376.394    4.741    376.394    376.898    380.618    381.57  
 71.0    71.0    14.0    3.0    75.0    0.0    0.0    0.0    386.769    4.74    386.769    387.273    390.992    392.011  
 206.0    199.0    14.0    3.0    205.0    1.0    1.0    0.0    396.604    4.747    396.604    397.107    400.832    401.885  
 104.0    104.0    14.0    3.0    105.0    0.0    0.0    0.0    408.014    4.745    408.014    408.518    412.24    413.543  
 154.0    154.0    14.0    3.0    155.0    0.0    0.0    0.0    419.102    4.733    419.102    419.605    423.315    424.167  
 347.0    340.0    14.0    3.0    345.0    1.0    1.0    0.0    429.657    4.734    429.657    430.161    433.873    436.21  
 44.474    44.474    44.474    44.474    44.474    44.474    44.474    44.474    44.474    44.474    44.474    44.474    44.474    44.474  
