 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 1.0    7.0    5.0    311.0    230.0    130.0    300.4    206.1    29.0    10.6    4.0    1.0    -1.0    0.0    304.0    7.0    7.0    7.0    311.0    300.4    4.0    230.0    206.1    3.0    130.0    2.0    29.0    1.0    42.155    43.194    50.549    55.903    5.027    60.93    14.248  
 1.0    7.0    5.0    54.0    135.0    229.0    69.1    156.8    298.0    15.1    1.0    1.0    1.0    0.0    50.0    4.0    4.0    -4.0    54.0    69.1    1.0    135.0    156.8    2.0    229.0    3.0    298.0    4.0    61.568    62.581    69.935    75.288    5.023    80.311    14.219  
 1.0    7.0    12.0    52.0    119.0    238.0    62.3    144.7    300.0    10.3    1.0    2.0    1.0    0.0    48.0    4.0    4.0    -4.0    52.0    62.3    1.0    119.0    144.7    2.0    238.0    3.0    300.0    4.0    80.948    89.318    81.96    101.672    5.024    106.697    21.223  
 1.0    7.0    12.0    146.0    324.0    220.0    132.6    295.6    63.0    13.4    2.0    2.0    -1.0    0.0    139.0    7.0    7.0    7.0    146.0    132.6    2.0    324.0    295.6    4.0    220.0    3.0    63.0    1.0    107.334    115.703    108.347    128.057    5.025    133.082    21.221  
 3.0    7.0    12.0    41.0    154.0    323.0    248.0    138.9    296.0    153.0    1.0    2.0    0.0    0.0    47.0    -6.0    6.0    -6.0    154.0    138.9    2.0    323.0    296.0    4.0    41.0    1.0    248.0    3.0    133.72    142.087    134.731    154.441    5.027    159.468    21.22  
 3.0    7.0    12.0    205.0    139.0    334.0    65.0    123.8    304.4    140.0    3.0    2.0    0.0    0.0    214.0    -9.0    9.0    -9.0    139.0    123.8    2.0    334.0    304.4    4.0    205.0    3.0    65.0    1.0    160.106    168.474    161.117    180.828    5.026    185.854    21.221  
 1.0    0.2    12.0    326.0    141.0    245.0    311.1    115.5    33.0    14.9    4.0    2.0    -1.0    1.0    350.0    -24.0    24.0    -24.0    326.0    311.1    4.0    141.0    115.5    2.0    245.0    3.0    33.0    1.0    186.491    188.059    187.504    200.413    5.022    205.435    14.42  
 3.0    0.2    12.0    54.0    305.0    218.0    143.0    315.4    239.7    89.0    1.0    2.0    0.0    0.0    38.0    16.0    16.0    -16.0    305.0    315.4    4.0    218.0    239.7    3.0    54.0    1.0    143.0    2.0    206.072    207.639    207.083    219.994    5.022    225.016    14.421  
 3.0    0.2    11.8    306.0    146.0    42.0    242.0    156.3    66.8    64.0    4.0    1.0    0.0    1.0    303.0    3.0    3.0    3.0    146.0    156.3    2.0    42.0    66.8    1.0    306.0    4.0    242.0    3.0    225.653    226.664    227.22    239.374    5.022    244.396    14.22  
 3.0    7.0    5.0    325.0    40.0    151.0    245.0    28.2    125.6    80.0    4.0    1.0    0.0    1.0    323.0    2.0    2.0    2.0    40.0    28.2    1.0    151.0    125.6    2.0    325.0    4.0    245.0    3.0    245.033    246.045    253.401    258.755    5.022    263.777    14.22  
 1.0    0.2    11.8    60.0    138.0    228.0    42.9    113.9    294.0    17.1    1.0    1.0    -1.0    0.0    52.0    8.0    8.0    8.0    60.0    42.9    1.0    138.0    113.9    2.0    228.0    3.0    294.0    4.0    264.414    265.426    265.982    278.135    5.023    283.158    14.219  
 3.0    7.0    5.0    315.0    45.0    144.0    210.0    31.9    114.3    105.0    4.0    1.0    0.0    1.0    323.0    -8.0    8.0    -8.0    45.0    31.9    1.0    144.0    114.3    2.0    315.0    4.0    210.0    3.0    283.795    284.807    292.162    297.516    5.023    302.538    14.219  
 3.0    7.0    5.0    157.0    321.0    60.0    206.0    308.0    38.5    49.0    2.0    1.0    0.0    1.0    146.0    11.0    11.0    -11.0    321.0    308.0    4.0    60.0    38.5    1.0    157.0    2.0    206.0    3.0    303.176    304.188    311.544    316.899    5.019    321.919    14.222  
 1.0    0.2    12.0    314.0    65.0    249.0    294.3    37.9    141.0    19.7    4.0    2.0    -1.0    0.0    321.0    -7.0    7.0    -7.0    314.0    294.3    4.0    65.0    37.9    1.0    249.0    3.0    141.0    2.0    322.556    324.124    323.568    336.478    5.022    341.5    14.42  
 1.0    7.0    12.0    40.0    323.0    151.0    29.0    293.1    212.0    11.0    1.0    2.0    -1.0    1.0    53.0    -13.0    13.0    -13.0    40.0    29.0    1.0    323.0    293.1    4.0    151.0    2.0    212.0    3.0    342.136    350.504    343.149    362.858    5.028    367.886    21.219  
 3.0    7.0    5.0    228.0    147.0    327.0    55.0    134.2    303.2    173.0    3.0    1.0    0.0    1.0    218.0    10.0    10.0    10.0    147.0    134.2    2.0    327.0    303.2    4.0    228.0    3.0    55.0    1.0    368.524    369.535    376.89    382.244    5.023    387.266    14.219  
 1.0    7.0    5.0    48.0    240.0    320.0    35.4    214.8    129.0    12.6    1.0    1.0    -1.0    1.0    43.0    5.0    5.0    5.0    48.0    35.4    1.0    240.0    214.8    3.0    320.0    4.0    129.0    2.0    387.904    388.916    396.272    401.627    5.02    406.647    14.221  
 1.0    7.0    5.0    33.0    132.0    215.0    45.5    152.2    290.0    12.5    1.0    1.0    1.0    0.0    39.0    -6.0    6.0    6.0    33.0    45.5    1.0    132.0    152.2    2.0    215.0    3.0    290.0    4.0    407.285    408.296    415.651    421.005    5.023    426.028    14.219  
 1.0    7.0    12.0    127.0    64.0    339.0    116.2    40.9    212.0    10.8    2.0    2.0    -1.0    0.0    108.0    19.0    19.0    19.0    127.0    116.2    2.0    64.0    40.9    1.0    339.0    4.0    212.0    3.0    426.665    435.033    427.677    447.387    5.026    452.413    21.22  
 1.0    7.0    5.0    35.0    312.0    202.0    54.2    332.4    136.0    19.2    1.0    1.0    1.0    0.0    37.0    -2.0    2.0    2.0    35.0    54.2    1.0    312.0    332.4    4.0    202.0    3.0    136.0    2.0    453.052    454.063    461.418    466.771    5.023    471.794    14.219  
 1.0    7.0    12.0    314.0    234.0    33.0    303.1    211.4    148.0    10.9    4.0    2.0    -1.0    1.0    314.0    0.0    0.0    0.0    314.0    303.1    4.0    234.0    211.4    3.0    33.0    1.0    148.0    2.0    472.431    480.8    473.444    493.154    5.026    498.18    21.221  
 1.0    7.0    5.0    304.0    29.0    215.0    320.0    51.8    115.0    16.0    4.0    1.0    1.0    0.0    303.0    1.0    1.0    -1.0    304.0    320.0    4.0    29.0    51.8    1.0    215.0    3.0    115.0    2.0    498.818    499.831    507.188    512.541    5.019    517.561    14.223  
 3.0    7.0    5.0    204.0    147.0    68.0    316.0    131.0    41.6    112.0    3.0    1.0    0.0    0.0    207.0    -3.0    3.0    3.0    147.0    131.0    2.0    68.0    41.6    1.0    204.0    3.0    316.0    4.0    518.198    519.21    526.565    531.919    5.022    536.941    14.22  
 1.0    0.2    12.0    300.0    121.0    242.0    315.7    148.6    57.0    15.7    4.0    2.0    1.0    1.0    291.0    9.0    9.0    -9.0    300.0    315.7    4.0    121.0    148.6    2.0    242.0    3.0    57.0    1.0    537.578    539.145    538.59    551.5    5.022    556.522    14.42  
 1.0    7.0    12.0    137.0    28.0    213.0    154.0    55.2    293.0    17.0    2.0    2.0    1.0    0.0    120.0    17.0    17.0    -17.0    137.0    154.0    2.0    28.0    55.2    1.0    213.0    3.0    293.0    4.0    557.16    565.527    558.171    577.881    5.026    582.908    21.22  
 3.0    0.2    12.0    110.0    41.0    223.0    290.0    24.6    203.0    180.0    2.0    2.0    0.0    0.0    106.0    4.0    4.0    4.0    41.0    24.6    1.0    223.0    203.0    3.0    110.0    2.0    290.0    4.0    583.546    585.113    584.557    597.467    5.022    602.489    14.42  
 1.0    0.2    12.0    32.0    298.0    208.0    43.9    326.2    124.0    11.9    1.0    2.0    1.0    1.0    47.0    -15.0    15.0    15.0    32.0    43.9    1.0    298.0    326.2    4.0    208.0    3.0    124.0    2.0    603.126    604.694    604.138    617.048    5.022    622.069    14.42  
