 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 1.0    7.0    5.0    125.0    222.0    31.0    144.3    249.4    296.0    19.3    2.0    1.0    1.0    1.0    136.0    -11.0    11.0    11.0    125.0    144.3    2.0    222.0    249.4    3.0    31.0    1.0    296.0    4.0    41.555    42.597    49.954    55.308    5.022    60.33    14.253  
 1.0    0.2    12.0    122.0    302.0    219.0    134.6    322.0    54.0    12.6    2.0    2.0    1.0    0.0    127.0    -5.0    5.0    5.0    122.0    134.6    2.0    302.0    322.0    4.0    219.0    3.0    54.0    1.0    60.967    62.535    61.98    74.89    5.021    79.911    14.421  
 3.0    7.0    5.0    339.0    121.0    31.0    243.0    131.3    57.7    96.0    4.0    1.0    0.0    0.0    344.0    -5.0    5.0    -5.0    121.0    131.3    2.0    31.0    57.7    1.0    339.0    4.0    243.0    3.0    80.548    81.56    88.916    94.269    5.023    99.292    14.22  
 1.0    0.2    11.8    56.0    318.0    211.0    40.9    296.4    122.0    15.1    1.0    1.0    -1.0    0.0    52.0    4.0    4.0    4.0    56.0    40.9    1.0    318.0    296.4    4.0    211.0    3.0    122.0    2.0    99.929    100.942    101.498    113.652    5.021    118.673    14.221  
 1.0    7.0    12.0    237.0    144.0    302.0    223.3    119.6    60.0    13.7    3.0    2.0    -1.0    1.0    234.0    3.0    3.0    3.0    237.0    223.3    3.0    144.0    119.6    2.0    302.0    4.0    60.0    1.0    119.31    127.68    120.323    140.035    5.023    145.058    21.224  
 3.0    0.2    12.0    134.0    316.0    213.0    60.0    333.3    237.3    74.0    2.0    2.0    0.0    0.0    137.0    -3.0    3.0    -3.0    316.0    333.3    4.0    213.0    237.3    3.0    134.0    2.0    60.0    1.0    145.696    147.263    146.708    159.617    5.022    164.639    14.42  
 3.0    0.2    11.8    134.0    206.0    28.0    295.0    225.1    48.2    161.0    2.0    1.0    0.0    1.0    155.0    -21.0    21.0    21.0    206.0    225.1    3.0    28.0    48.2    1.0    134.0    2.0    295.0    4.0    165.276    166.29    166.845    178.999    5.021    184.02    14.221  
 1.0    0.2    11.8    125.0    309.0    53.0    140.9    330.5    240.0    15.9    2.0    1.0    1.0    1.0    130.0    -5.0    5.0    5.0    125.0    140.9    2.0    309.0    330.5    4.0    53.0    1.0    240.0    3.0    184.657    185.668    186.223    198.378    5.022    203.401    14.22  
 1.0    7.0    12.0    123.0    214.0    315.0    138.7    236.3    48.0    15.7    2.0    2.0    1.0    0.0    128.0    -5.0    5.0    5.0    123.0    138.7    2.0    214.0    236.3    3.0    315.0    4.0    48.0    1.0    204.039    212.407    205.051    224.761    5.025    229.786    21.221  
 1.0    7.0    12.0    308.0    135.0    246.0    297.4    112.0    34.0    10.6    4.0    2.0    -1.0    1.0    300.0    8.0    8.0    8.0    308.0    297.4    4.0    135.0    112.0    2.0    246.0    3.0    34.0    1.0    230.425    238.792    231.436    251.146    5.026    256.172    21.221  
 3.0    0.2    12.0    154.0    219.0    31.0    308.0    237.8    59.2    154.0    2.0    2.0    0.0    1.0    152.0    2.0    2.0    -2.0    219.0    237.8    3.0    31.0    59.2    1.0    154.0    2.0    308.0    4.0    256.809    258.377    257.821    270.731    5.022    275.753    14.42  
 3.0    0.2    12.0    305.0    55.0    153.0    201.0    35.1    131.0    104.0    4.0    2.0    0.0    1.0    302.0    3.0    3.0    3.0    55.0    35.1    1.0    153.0    131.0    2.0    305.0    4.0    201.0    3.0    276.391    277.957    277.402    290.311    5.023    295.334    14.419  
 1.0    0.2    12.0    326.0    135.0    31.0    336.2    156.1    246.0    10.2    4.0    2.0    1.0    0.0    334.0    -8.0    8.0    8.0    326.0    336.2    4.0    135.0    156.1    2.0    31.0    1.0    246.0    3.0    295.971    297.538    296.983    309.893    5.022    314.915    14.42  
 3.0    0.2    11.8    110.0    55.0    207.0    298.0    68.9    227.1    172.0    2.0    1.0    0.0    0.0    90.0    20.0    20.0    20.0    55.0    68.9    1.0    207.0    227.1    3.0    110.0    2.0    298.0    4.0    315.553    316.564    317.12    329.275    5.021    334.296    14.221  
 3.0    0.2    11.8    49.0    238.0    141.0    299.0    225.9    113.6    110.0    1.0    1.0    0.0    0.0    30.0    19.0    19.0    19.0    238.0    225.9    3.0    141.0    113.6    2.0    49.0    1.0    299.0    4.0    334.934    335.946    336.502    348.657    5.02    353.676    14.222  
 1.0    0.2    11.8    138.0    318.0    242.0    123.6    292.0    64.0    14.4    2.0    1.0    -1.0    0.0    168.0    -30.0    30.0    -30.0    138.0    123.6    2.0    318.0    292.0    4.0    242.0    3.0    64.0    1.0    354.314    355.326    355.881    368.035    5.022    373.057    14.219  
 1.0    7.0    12.0    138.0    26.0    249.0    153.2    50.1    301.0    15.2    2.0    2.0    1.0    1.0    140.0    -2.0    2.0    2.0    138.0    153.2    2.0    26.0    50.1    1.0    249.0    3.0    301.0    4.0    373.695    382.062    374.706    394.416    5.027    399.443    21.22  
 1.0    0.2    11.8    314.0    142.0    23.0    300.0    112.3    230.0    14.0    4.0    1.0    -1.0    1.0    329.0    -15.0    15.0    -15.0    314.0    300.0    4.0    142.0    112.3    2.0    23.0    1.0    230.0    3.0    400.08    401.092    401.647    413.802    5.022    418.824    14.22  
 1.0    0.2    12.0    140.0    239.0    21.0    124.7    215.6    333.0    15.3    2.0    2.0    -1.0    1.0    142.0    -2.0    2.0    -2.0    140.0    124.7    2.0    239.0    215.6    3.0    21.0    1.0    333.0    4.0    419.461    421.029    420.473    433.384    5.02    438.404    14.422  
 1.0    0.2    11.8    302.0    44.0    228.0    315.5    68.9    144.0    13.5    4.0    1.0    1.0    0.0    287.0    15.0    15.0    -15.0    302.0    315.5    4.0    44.0    68.9    1.0    228.0    3.0    144.0    2.0    439.042    440.054    440.61    452.764    5.021    457.785    14.22  
 1.0    7.0    5.0    127.0    44.0    227.0    146.8    67.3    300.0    19.8    2.0    1.0    1.0    1.0    122.0    5.0    5.0    -5.0    127.0    146.8    2.0    44.0    67.3    1.0    227.0    3.0    300.0    4.0    458.424    459.436    466.792    472.147    5.019    477.166    14.223  
 1.0    7.0    5.0    140.0    224.0    317.0    125.3    202.5    54.0    14.7    2.0    1.0    -1.0    0.0    163.0    -23.0    23.0    -23.0    140.0    125.3    2.0    224.0    202.5    3.0    317.0    4.0    54.0    1.0    477.803    478.814    486.17    491.523    5.024    496.547    14.218  
