 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 1.0    0.2    11.8    47.0    125.0    322.0    66.0    149.9    246.0    19.0    1.0    1.0    1.0    1.0    62.0    -15.0    15.0    15.0    47.0    66.0    1.0    125.0    149.9    2.0    322.0    4.0    246.0    3.0    56.366    57.406    57.962    70.116    5.025    75.141    14.25  
 1.0    0.2    11.8    28.0    293.0    201.0    46.8    320.9    152.0    18.8    1.0    1.0    1.0    0.0    9.0    19.0    19.0    -19.0    28.0    46.8    1.0    293.0    320.9    4.0    201.0    3.0    152.0    2.0    75.779    76.792    77.347    89.501    5.02    94.521    14.221  
 1.0    7.0    5.0    241.0    65.0    334.0    230.9    42.9    113.0    10.1    3.0    1.0    -1.0    0.0    205.0    36.0    36.0    -36.0    241.0    230.9    3.0    65.0    42.9    1.0    334.0    4.0    113.0    2.0    95.159    96.171    103.527    108.881    5.021    113.902    14.221  
 1.0    7.0    12.0    211.0    31.0    303.0    228.1    56.7    159.0    17.1    3.0    2.0    1.0    0.0    209.0    2.0    2.0    -2.0    211.0    228.1    3.0    31.0    56.7    1.0    303.0    4.0    159.0    2.0    114.54    122.909    115.553    135.264    5.024    140.288    21.223  
 3.0    7.0    12.0    201.0    48.0    322.0    141.0    29.1    295.4    60.0    3.0    2.0    0.0    1.0    180.0    21.0    21.0    21.0    48.0    29.1    1.0    322.0    295.4    4.0    201.0    3.0    141.0    2.0    140.926    149.294    141.938    161.648    5.025    166.673    21.221  
 3.0    0.2    11.8    309.0    204.0    135.0    63.0    216.8    156.1    114.0    4.0    1.0    0.0    0.0    300.0    9.0    9.0    -9.0    204.0    216.8    3.0    135.0    156.1    2.0    309.0    4.0    63.0    1.0    167.31    168.322    168.878    181.032    5.022    186.054    14.22  
 3.0    0.2    11.8    140.0    49.0    331.0    225.0    33.3    308.6    85.0    2.0    1.0    0.0    0.0    120.0    20.0    20.0    -20.0    49.0    33.3    1.0    331.0    308.6    4.0    140.0    2.0    225.0    3.0    186.691    187.703    188.258    200.413    5.022    205.435    14.22  
 3.0    0.2    12.0    320.0    124.0    216.0    27.0    141.4    238.6    67.0    4.0    2.0    0.0    1.0    315.0    5.0    5.0    -5.0    124.0    141.4    2.0    216.0    238.6    3.0    320.0    4.0    27.0    1.0    206.073    207.641    207.085    219.994    5.021    225.016    14.42  
 1.0    0.2    11.8    222.0    56.0    158.0    209.8    29.9    315.0    12.2    3.0    1.0    -1.0    1.0    208.0    14.0    14.0    14.0    222.0    209.8    3.0    56.0    29.9    1.0    158.0    2.0    315.0    4.0    225.653    226.666    227.221    239.376    5.021    244.397    14.221  
 3.0    7.0    12.0    308.0    47.0    210.0    130.0    64.9    235.4    178.0    4.0    2.0    0.0    1.0    285.0    23.0    23.0    23.0    47.0    64.9    1.0    210.0    235.4    3.0    308.0    4.0    130.0    2.0    245.035    253.402    246.046    265.756    5.027    270.782    21.22  
 3.0    0.2    12.0    125.0    225.0    298.0    42.0    240.2    318.0    83.0    2.0    2.0    0.0    0.0    128.0    -3.0    3.0    -3.0    225.0    240.2    3.0    298.0    318.0    4.0    125.0    2.0    42.0    1.0    271.42    272.988    272.432    285.342    5.021    290.363    14.421  
 3.0    7.0    12.0    294.0    240.0    60.0    146.0    224.4    33.5    148.0    4.0    2.0    0.0    0.0    291.0    3.0    3.0    3.0    240.0    224.4    3.0    60.0    33.5    1.0    294.0    4.0    146.0    2.0    291.0    299.368    292.013    311.722    5.026    316.749    21.221  
 1.0    0.2    12.0    321.0    158.0    36.0    307.5    135.3    235.0    13.5    4.0    2.0    -1.0    0.0    316.0    5.0    5.0    5.0    321.0    307.5    4.0    158.0    135.3    2.0    36.0    1.0    235.0    3.0    317.387    318.954    318.399    331.309    5.021    336.33    14.421  
 1.0    0.2    12.0    317.0    211.0    59.0    333.3    231.2    115.0    16.3    4.0    2.0    1.0    0.0    303.0    14.0    14.0    -14.0    317.0    333.3    4.0    211.0    231.2    3.0    59.0    1.0    115.0    2.0    336.967    338.535    337.979    350.888    5.022    355.91    14.419  
 3.0    7.0    12.0    294.0    20.0    209.0    128.0    31.2    235.0    166.0    4.0    2.0    0.0    0.0    293.0    1.0    1.0    1.0    20.0    31.2    1.0    209.0    235.0    3.0    294.0    4.0    128.0    2.0    356.548    364.915    357.559    377.269    5.027    382.296    21.22  
 1.0    0.2    12.0    123.0    215.0    334.0    135.6    236.4    32.0    12.6    2.0    2.0    1.0    0.0    123.0    0.0    0.0    0.0    123.0    135.6    2.0    215.0    236.4    3.0    334.0    4.0    32.0    1.0    382.933    384.501    383.945    396.855    5.022    401.877    14.419  
 3.0    0.2    11.8    206.0    145.0    315.0    23.0    127.3    291.1    177.0    3.0    1.0    0.0    1.0    215.0    -9.0    9.0    9.0    145.0    127.3    2.0    315.0    291.1    4.0    206.0    3.0    23.0    1.0    402.514    403.527    404.083    416.236    5.022    421.258    14.22  
 3.0    0.2    11.8    50.0    150.0    247.0    305.0    138.0    217.4    105.0    1.0    1.0    0.0    0.0    44.0    6.0    6.0    6.0    150.0    138.0    2.0    247.0    217.4    3.0    50.0    1.0    305.0    4.0    421.895    422.907    423.462    435.615    5.023    440.639    14.219  
 3.0    7.0    12.0    238.0    64.0    146.0    300.0    53.9    117.1    62.0    3.0    2.0    0.0    0.0    220.0    18.0    18.0    -18.0    64.0    53.9    1.0    146.0    117.1    2.0    238.0    3.0    300.0    4.0    441.275    449.644    442.287    461.999    5.025    467.024    21.222  
 1.0    0.2    12.0    50.0    334.0    135.0    37.8    312.5    215.0    12.2    1.0    2.0    -1.0    1.0    51.0    -1.0    1.0    -1.0    50.0    37.8    1.0    334.0    312.5    4.0    135.0    2.0    215.0    3.0    467.661    469.23    468.674    481.584    5.021    486.605    14.42  
 1.0    0.2    12.0    329.0    142.0    36.0    316.3    119.9    213.0    12.7    4.0    2.0    -1.0    0.0    329.0    0.0    0.0    0.0    329.0    316.3    4.0    142.0    119.9    2.0    36.0    1.0    213.0    3.0    487.243    488.812    488.255    501.166    5.02    506.186    14.422  
 3.0    7.0    5.0    219.0    114.0    315.0    36.0    133.6    338.7    177.0    3.0    1.0    0.0    1.0    228.0    -9.0    9.0    9.0    114.0    133.6    2.0    315.0    338.7    4.0    219.0    3.0    36.0    1.0    506.823    507.836    515.191    520.544    5.022    525.566    14.219  
 3.0    7.0    12.0    67.0    140.0    325.0    208.0    120.4    300.4    141.0    1.0    2.0    0.0    0.0    69.0    -2.0    2.0    2.0    140.0    120.4    2.0    325.0    300.4    4.0    67.0    1.0    208.0    3.0    526.204    534.573    527.216    546.928    5.025    551.952    21.222  
 3.0    0.2    11.8    135.0    324.0    25.0    232.0    338.9    49.5    97.0    2.0    1.0    0.0    0.0    118.0    17.0    17.0    -17.0    324.0    338.9    4.0    25.0    49.5    1.0    135.0    2.0    232.0    3.0    552.59    553.602    554.157    566.312    5.021    571.333    14.221  
 3.0    0.2    11.8    64.0    117.0    202.0    314.0    131.6    227.7    110.0    1.0    1.0    0.0    0.0    64.0    0.0    0.0    0.0    117.0    131.6    2.0    202.0    227.7    3.0    64.0    1.0    314.0    4.0    571.971    572.983    573.538    585.691    5.022    590.714    14.219  
