 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 233.0    233.0    16.0    3.0    235.0    0.0    0.0    0.0    53.272    4.743    53.272    53.777    57.496    58.852  
 263.0    263.0    16.0    3.0    265.0    0.0    0.0    0.0    63.535    4.736    63.535    64.039    67.754    68.906  
 319.0    319.0    16.0    3.0    315.0    0.0    0.0    0.0    74.516    4.747    74.516    75.019    78.745    80.165  
 292.0    292.0    16.0    3.0    295.0    0.0    0.0    0.0    85.206    4.748    85.206    85.711    89.436    90.355  
 277.0    277.0    16.0    3.0    275.0    0.0    1.0    1.0    96.547    4.731    96.547    97.051    100.761    102.032  
 199.0    199.0    16.0    3.0    195.0    0.0    0.0    0.0    108.089    4.732    108.089    108.593    112.302    113.856  
 23.0    14.0    16.0    3.0    25.0    1.0    1.0    0.0    118.344    4.734    118.344    118.848    122.56    123.896  
 201.0    201.0    16.0    3.0    205.0    0.0    1.0    1.0    128.792    4.744    128.792    129.295    133.017    134.471  
 216.0    216.0    16.0    3.0    215.0    0.0    0.0    0.0    140.438    4.739    140.438    140.943    144.66    145.612  
 282.0    282.0    16.0    3.0    285.0    0.0    1.0    1.0    151.72    4.732    151.72    152.224    155.934    157.154  
 39.0    45.0    16.0    3.0    35.0    1.0    0.0    1.0    162.045    4.748    162.045    162.549    166.275    167.678  
 131.0    139.0    16.0    3.0    135.0    1.0    0.0    1.0    173.577    4.741    173.577    174.082    177.8    178.836  
 356.0    356.0    16.0    3.0    355.0    0.0    0.0    0.0    183.562    4.746    183.562    184.066    187.79    188.593  
 346.0    346.0    16.0    3.0    345.0    0.0    0.0    0.0    194.923    4.744    194.923    195.427    199.149    200.936  
 333.0    333.0    16.0    3.0    335.0    0.0    1.0    1.0    205.719    4.739    205.719    206.223    209.94    211.16  
 157.0    165.0    16.0    3.0    155.0    1.0    1.0    0.0    216.092    4.74    216.092    216.595    220.314    222.034  
 87.0    82.0    16.0    3.0    85.0    1.0    1.0    0.0    227.245    4.746    227.245    227.75    231.472    232.692  
 328.0    328.0    16.0    3.0    325.0    0.0    1.0    1.0    237.264    4.734    237.264    237.77    241.479    243.316  
 179.0    185.0    16.0    3.0    175.0    1.0    1.0    0.0    248.021    4.735    248.021    248.524    252.237    253.54  
 92.0    82.0    16.0    3.0    95.0    1.0    999.0    999.0    258.588    4.742    258.588    259.092    262.812    265.33  
 18.0    26.0    16.0    3.0    15.0    1.0    1.0    0.0    268.529    4.742    268.529    269.033    272.752    274.389  
 169.0    175.0    16.0    3.0    165.0    1.0    999.0    999.0    279.114    4.748    279.114    279.617    283.343    285.861  
 44.0    38.0    16.0    3.0    45.0    1.0    999.0    999.0    289.402    4.733    289.402    289.906    293.617    296.135  
 303.0    303.0    16.0    3.0    305.0    0.0    0.0    0.0    299.169    4.74    299.169    299.673    303.391    304.227  
 123.0    114.0    16.0    3.0    125.0    1.0    1.0    0.0    309.433    4.734    309.433    309.937    313.649    314.568  
 106.0    113.0    16.0    3.0    105.0    1.0    0.0    1.0    320.41    4.748    320.41    320.915    324.64    325.86  
 78.0    69.0    16.0    3.0    75.0    1.0    0.0    1.0    330.951    4.732    330.951    331.454    335.164    336.251  
 56.0    66.0    16.0    3.0    55.0    1.0    999.0    999.0    340.764    4.741    340.764    341.268    344.988    347.506  
 119.0    127.0    16.0    3.0    115.0    1.0    1.0    0.0    352.5    4.731    352.5    353.003    356.713    357.783  
 246.0    246.0    16.0    3.0    245.0    0.0    0.0    0.0    362.953    4.735    362.953    363.457    367.171    368.29  
 142.0    151.0    16.0    3.0    145.0    1.0    0.0    1.0    373.941    4.74    373.941    374.444    378.162    379.548  
 251.0    251.0    16.0    3.0    255.0    0.0    0.0    0.0    385.014    4.742    385.014    385.517    389.237    390.106  
 9.0    14.0    16.0    3.0    5.0    1.0    0.0    1.0    395.787    4.742    395.787    396.292    400.011    401.131  
 184.0    184.0    16.0    3.0    185.0    0.0    0.0    0.0    407.384    4.738    407.384    407.888    411.603    412.372  
 222.0    222.0    16.0    3.0    225.0    0.0    0.0    0.0    418.164    4.734    418.164    418.667    422.378    423.197  
 68.0    60.0    16.0    3.0    65.0    1.0    0.0    1.0    429.439    4.748    429.439    429.944    433.669    434.639  
 49.607    49.607    49.607    49.607    49.607    49.607    49.607    49.607    49.607    49.607    49.607    49.607    49.607    49.607  
