 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 1.0    7.0    5.0    125.0    0.0    0.0    140.6    0.0    0.0    15.6    2.0    1.0    1.0    1.0    113.0    12.0    12.0    -12.0    125.0    140.6    2.0    214.0    237.7    3.0    35.0    1.0    292.0    4.0    432.597    433.608    440.963    446.319    5.026    451.345    14.22  
 1.0    0.2    11.8    132.0    0.0    0.0    115.6    0.0    0.0    16.4    2.0    1.0    -1.0    1.0    139.0    -7.0    7.0    -7.0    132.0    115.6    2.0    234.0    208.0    3.0    39.0    1.0    317.0    4.0    451.981    452.992    453.546    465.702    5.029    470.731    14.218  
 3.0    0.2    11.8    306.0    0.0    0.0    54.0    0.0    0.0    108.0    4.0    1.0    0.0    1.0    291.0    15.0    15.0    -15.0    223.0    235.2    3.0    132.0    157.8    2.0    306.0    4.0    54.0    1.0    471.367    472.378    472.931    485.085    5.031    490.116    14.216  
 1.0    7.0    5.0    208.0    0.0    0.0    226.1    0.0    0.0    18.1    3.0    1.0    1.0    0.0    221.0    -13.0    13.0    13.0    208.0    226.1    3.0    20.0    42.6    1.0    159.0    2.0    338.0    4.0    490.753    491.762    499.117    504.471    5.03    509.502    14.216  
 1.0    7.0    5.0    294.0    0.0    0.0    305.7    0.0    0.0    11.7    4.0    1.0    1.0    1.0    293.0    1.0    1.0    -1.0    294.0    305.7    4.0    211.0    231.5    3.0    42.0    1.0    138.0    2.0    510.139    511.149    518.503    523.858    5.03    528.887    14.217  
 3.0    7.0    5.0    57.0    0.0    0.0    323.0    0.0    0.0    94.0    1.0    1.0    0.0    0.0    58.0    -1.0    1.0    -1.0    148.0    132.5    2.0    242.0    219.2    3.0    57.0    1.0    323.0    4.0    529.524    530.535    537.889    543.245    5.028    548.273    14.219  
 3.0    0.2    11.8    150.0    0.0    0.0    214.0    0.0    0.0    64.0    2.0    1.0    0.0    1.0    149.0    1.0    1.0    -1.0    54.0    67.0    1.0    308.0    329.8    4.0    150.0    2.0    214.0    3.0    548.91    549.92    550.473    562.629    5.029    567.659    14.217  
 3.0    7.0    5.0    139.0    0.0    0.0    54.0    0.0    0.0    85.0    2.0    1.0    0.0    0.0    145.0    -6.0    6.0    -6.0    292.0    305.2    4.0    221.0    244.0    3.0    139.0    2.0    54.0    1.0    568.295    569.307    576.66    582.016    5.028    587.044    14.219  
 1.0    7.0    5.0    133.0    0.0    0.0    115.5    0.0    0.0    17.5    2.0    1.0    -1.0    0.0    126.0    7.0    7.0    7.0    133.0    115.5    2.0    58.0    31.3    1.0    304.0    4.0    232.0    3.0    587.682    588.691    596.046    601.4    5.03    606.43    14.217  
 44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198    44.198  
