 first_second    radius    angle_t1    angle_t2    angle_p1    angle_p2    correct_direction    Response    C_I_M    start_trial    presentation_checkboard_time    presentation_target_time    start_delay    end_delay    presentation_probe_time    response_time  
 40.991    40.991    40.991    40.991    40.991    40.991    40.991    40.991    40.991    40.991    40.991    40.991    40.991    40.991    40.991    40.991  
 1.0    14.0    144.0    102.0    134.0    97.0    1.0    1.0    0.0    43.787    43.787    44.015    44.357    47.518    47.518    49.619  
 2.0    14.0    144.0    102.0    134.0    97.0    1.0    1.0    0.0    43.787    43.787    50.319    50.786    53.822    53.822    54.99  
 1.0    14.0    213.0    196.0    205.0    200.0    1.0    -1.0    1.0    59.106    59.106    59.326    59.657    62.828    62.828    63.996  
 2.0    14.0    213.0    196.0    205.0    200.0    -1.0    -1.0    0.0    59.106    59.106    65.194    65.678    68.697    68.697    69.833  
 1.0    14.0    67.0    47.0    71.0    37.0    1.0    -1.0    1.0    74.397    74.397    74.885    75.369    78.387    78.387    79.757  
 2.0    14.0    67.0    47.0    71.0    37.0    -1.0    -1.0    0.0    74.397    74.397    81.392    81.723    84.894    84.894    86.062  
 1.0    14.0    115.0    142.0    114.0    140.0    1.0    1.0    0.0    90.421    90.421    90.882    91.213    94.385    94.385    94.933  
 2.0    14.0    115.0    142.0    114.0    140.0    1.0    1.0    0.0    90.421    90.421    96.27    96.751    99.772    99.772    101.39  
 1.0    14.0    290.0    306.0    288.0    315.0    -1.0    1.0    1.0    105.54    105.54    105.76    106.091    109.262    109.262    110.68  
 2.0    14.0    290.0    306.0    288.0    315.0    1.0    1.0    0.0    105.54    105.54    111.831    112.162    115.333    115.333    116.268  
 1.0    14.0    311.0    321.0    313.0    327.0    1.0    1.0    0.0    121.131    121.131    121.588    121.919    125.09    125.09    126.492  
 2.0    14.0    311.0    321.0    313.0    327.0    1.0    1.0    0.0    121.131    121.131    127.426    127.757    130.928    130.928    131.71  
 1.0    14.0    318.0    314.0    324.0    316.0    1.0    1.0    0.0    136.255    136.255    136.563    137.047    140.065    140.065    141.636  
 2.0    14.0    318.0    314.0    324.0    316.0    1.0    1.0    0.0    136.255    136.255    143.318    143.801    146.82    146.82    147.923  
 1.0    14.0    134.0    118.0    143.0    110.0    -1.0    -1.0    0.0    152.093    152.093    152.56    152.891    156.063    156.063    156.997  
 2.0    14.0    134.0    118.0    143.0    110.0    1.0    1.0    0.0    152.093    152.093    158.212    158.696    161.698    161.698    162.601  
 1.0    14.0    229.0    232.0    235.0    229.0    -1.0    -1.0    0.0    167.608    167.608    168.072    168.403    171.575    171.575    172.509  
 2.0    14.0    229.0    232.0    235.0    229.0    1.0    1.0    0.0    167.608    167.608    173.459    173.94    176.945    176.945    177.895  
 1.0    14.0    46.0    30.0    36.0    22.0    -1.0    -1.0    0.0    182.87    182.87    183.099    183.43    186.602    186.602    187.536  
 2.0    14.0    46.0    30.0    36.0    22.0    -1.0    -1.0    0.0    182.87    182.87    188.237    188.568    191.739    191.739    192.907  
 1.0    14.0    105.0    107.0    114.0    101.0    -1.0    -1.0    0.0    198.5    198.5    198.961    199.292    202.463    202.463    203.462  
 2.0    14.0    105.0    107.0    114.0    101.0    1.0    1.0    0.0    198.5    198.5    205.499    205.83    208.866    208.866    209.8  
 1.0    14.0    242.0    191.0    248.0    186.0    -1.0    -1.0    0.0    213.868    213.868    214.136    214.62    217.638    217.638    218.758  
 2.0    14.0    242.0    191.0    248.0    186.0    1.0    1.0    0.0    213.868    213.868    219.49    219.973    222.992    222.992    224.596  
 1.0    14.0    293.0    315.0    299.0    320.0    1.0    1.0    0.0    229.358    229.358    229.582    230.05    233.085    233.085    234.737  
 2.0    14.0    293.0    315.0    299.0    320.0    1.0    1.0    0.0    229.358    229.358    236.152    236.636    239.656    239.656    241.024  
 1.0    14.0    73.0    65.0    83.0    73.0    1.0    -1.0    1.0    245.103    245.103    245.563    245.894    249.065    249.065    251.399  
 2.0    14.0    73.0    65.0    83.0    73.0    1.0    0.0    999.0    245.103    245.103    251.649    252.13    255.152    255.152    0.0  
 1.0    14.0    127.0    105.0    133.0    103.0    -1.0    -1.0    0.0    261.018    261.018    261.239    261.571    264.742    264.742    265.676  
 2.0    14.0    127.0    105.0    133.0    103.0    1.0    1.0    0.0    261.018    261.018    267.313    267.644    270.814    270.814    271.514  
 1.0    14.0    167.0    140.0    176.0    147.0    -1.0    -1.0    0.0    276.92    276.92    277.232    277.699    280.718    280.718    281.401  
 2.0    14.0    167.0    140.0    176.0    147.0    -1.0    -1.0    0.0    276.92    276.92    283.94    284.422    287.441    287.441    288.191  
 1.0    14.0    286.0    347.0    276.0    339.0    -1.0    -1.0    0.0    292.57    292.57    293.035    293.515    296.539    296.539    297.498  
 2.0    14.0    286.0    347.0    276.0    339.0    -1.0    1.0    1.0    292.57    292.57    298.515    298.998    302.019    302.019    303.67  
 1.0    14.0    297.0    318.0    298.0    315.0    1.0    1.0    0.0    308.669    308.669    308.913    309.392    312.433    312.433    313.601  
 2.0    14.0    297.0    318.0    298.0    315.0    -1.0    -1.0    0.0    308.669    308.669    315.471    315.821    318.847    318.847    320.161  
 1.0    14.0    238.0    222.0    240.0    228.0    -1.0    0.0    999.0    324.053    324.053    324.526    324.859    328.029    328.029    0.0  
 2.0    14.0    238.0    222.0    240.0    228.0    -1.0    1.0    1.0    324.053    324.053    329.956    330.439    333.449    333.449    334.858  
 1.0    14.0    194.0    231.0    184.0    225.0    1.0    0.0    999.0    339.911    339.911    340.389    340.711    343.892    343.892    0.0  
 2.0    14.0    194.0    231.0    184.0    225.0    1.0    0.0    999.0    339.911    339.911    346.942    347.417    350.444    350.444    0.0  
