 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 1.0    7.0    5.0    125.0    222.0    31.0    144.3    249.4    296.0    19.3    2.0    1.0    1.0    1.0    129.0    -4.0    4.0    4.0    125.0    144.3    2.0    222.0    249.4    3.0    31.0    1.0    296.0    4.0    42.038    43.078    50.435    55.789    5.025    60.814    14.25  
 1.0    0.2    12.0    122.0    302.0    219.0    134.6    322.0    54.0    12.6    2.0    2.0    1.0    0.0    134.0    -12.0    12.0    12.0    122.0    134.6    2.0    302.0    322.0    4.0    219.0    3.0    54.0    1.0    61.451    63.019    62.463    75.374    5.021    80.394    14.421  
 3.0    7.0    5.0    339.0    121.0    31.0    243.0    131.3    57.7    96.0    4.0    1.0    0.0    0.0    342.0    -3.0    3.0    -3.0    121.0    131.3    2.0    31.0    57.7    1.0    339.0    4.0    243.0    3.0    81.032    82.045    89.402    94.756    5.019    99.775    14.223  
 1.0    0.2    11.8    56.0    318.0    211.0    40.9    296.4    122.0    15.1    1.0    1.0    -1.0    0.0    53.0    3.0    3.0    3.0    56.0    40.9    1.0    318.0    296.4    4.0    211.0    3.0    122.0    2.0    100.413    101.426    101.981    114.135    5.021    119.156    14.221  
 1.0    7.0    12.0    237.0    144.0    302.0    223.3    119.6    60.0    13.7    3.0    2.0    -1.0    1.0    250.0    -13.0    13.0    -13.0    237.0    223.3    3.0    144.0    119.6    2.0    302.0    4.0    60.0    1.0    119.794    128.162    120.805    140.514    5.027    145.542    21.219  
 3.0    0.2    12.0    134.0    316.0    213.0    60.0    333.3    237.3    74.0    2.0    2.0    0.0    0.0    135.0    -1.0    1.0    -1.0    316.0    333.3    4.0    213.0    237.3    3.0    134.0    2.0    60.0    1.0    146.18    147.745    147.191    160.099    5.023    165.122    14.418  
 3.0    0.2    11.8    134.0    206.0    28.0    295.0    225.1    48.2    161.0    2.0    1.0    0.0    1.0    139.0    -5.0    5.0    5.0    206.0    225.1    3.0    28.0    48.2    1.0    134.0    2.0    295.0    4.0    165.761    166.772    167.328    179.482    5.021    184.503    14.221  
 1.0    0.2    11.8    125.0    309.0    53.0    140.9    330.5    240.0    15.9    2.0    1.0    1.0    1.0    106.0    19.0    19.0    -19.0    125.0    140.9    2.0    309.0    330.5    4.0    53.0    1.0    240.0    3.0    185.141    186.153    186.709    198.863    5.02    203.884    14.221  
 1.0    7.0    12.0    123.0    214.0    315.0    138.7    236.3    48.0    15.7    2.0    2.0    1.0    0.0    131.0    -8.0    8.0    8.0    123.0    138.7    2.0    214.0    236.3    3.0    315.0    4.0    48.0    1.0    204.521    212.889    205.533    225.243    5.027    230.269    21.22  
 1.0    7.0    12.0    308.0    135.0    246.0    297.4    112.0    34.0    10.6    4.0    2.0    -1.0    1.0    300.0    8.0    8.0    8.0    308.0    297.4    4.0    135.0    112.0    2.0    246.0    3.0    34.0    1.0    230.907    239.274    231.919    251.628    5.027    256.655    21.22  
