 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 18.0    18.0    14.0    3.0    15.0    0.0    0.0    0.0    56.729    4.758    56.729    57.244    60.969    61.957  
 338.0    344.0    14.0    3.0    335.0    1.0    1.0    0.0    68.147    4.732    68.147    68.65    72.361    73.465  
 261.0    267.0    14.0    3.0    265.0    1.0    0.0    1.0    78.271    4.732    78.271    78.775    82.485    83.838  
 247.0    239.0    14.0    3.0    245.0    1.0    1.0    0.0    89.616    4.745    89.616    90.119    93.843    95.095  
 306.0    298.0    14.0    3.0    305.0    1.0    0.0    1.0    100.594    4.741    100.594    101.098    104.817    106.037  
 238.0    243.0    14.0    3.0    235.0    1.0    1.0    0.0    111.519    4.742    111.519    112.022    115.742    116.761  
 66.0    66.0    14.0    3.0    65.0    0.0    0.0    0.0    122.444    4.742    122.444    122.948    126.667    128.169  
 183.0    177.0    14.0    3.0    185.0    1.0    1.0    0.0    133.428    4.732    133.428    133.931    137.642    139.077  
 58.0    58.0    14.0    3.0    55.0    0.0    1.0    1.0    145.063    4.739    145.063    145.566    149.283    151.086  
 292.0    287.0    14.0    3.0    295.0    1.0    1.0    0.0    155.014    4.744    155.014    155.519    159.24    160.226  
 6.0    6.0    14.0    3.0    5.0    0.0    0.0    0.0    166.201    4.733    166.201    166.703    170.415    171.418  
 217.0    209.0    14.0    3.0    215.0    1.0    1.0    0.0    176.566    4.741    176.566    177.07    180.789    182.142  
 143.0    143.0    14.0    3.0    145.0    0.0    0.0    0.0    186.47    4.744    186.47    186.975    190.696    191.732  
 356.0    1.0    14.0    3.0    355.0    1.0    1.0    0.0    196.667    4.738    196.667    197.171    200.887    202.173  
 42.0    42.0    14.0    3.0    45.0    0.0    0.0    0.0    208.318    4.746    208.318    208.822    212.545    214.282  
 93.0    93.0    14.0    3.0    95.0    0.0    0.0    0.0    218.158    4.746    218.158    218.662    222.386    224.005  
 129.0    129.0    14.0    3.0    125.0    0.0    0.0    0.0    229.678    4.734    229.678    230.181    233.894    235.347  
 252.0    246.0    14.0    3.0    255.0    1.0    1.0    0.0    241.445    4.743    241.445    241.949    245.669    246.722  
 198.0    188.0    14.0    3.0    195.0    1.0    1.0    0.0    252.4    4.746    252.4    252.903    256.627    257.713  
 89.0    89.0    14.0    3.0    85.0    0.0    0.0    0.0    262.748    4.738    262.748    263.252    266.968    268.204  
 226.0    216.0    14.0    3.0    225.0    1.0    1.0    0.0    272.789    4.738    272.789    273.294    277.009    278.462  
 273.0    267.0    14.0    3.0    275.0    1.0    0.0    1.0    283.55    4.735    283.55    284.054    287.766    289.069  
 39.0    39.0    14.0    3.0    35.0    0.0    0.0    0.0    295.298    4.746    295.298    295.801    299.525    300.911  
 132.0    132.0    14.0    3.0    135.0    0.0    999.0    999.0    306.176    4.742    306.176    306.68    310.4    312.918  
 318.0    308.0    14.0    3.0    315.0    1.0    1.0    0.0    316.918    4.74    316.918    317.422    321.141    322.227  
 169.0    169.0    14.0    3.0    165.0    0.0    1.0    1.0    327.922    4.744    327.922    328.426    332.148    332.968  
 28.0    28.0    14.0    3.0    25.0    0.0    1.0    1.0    339.361    4.748    339.361    339.865    343.59    344.926  
 112.0    112.0    14.0    3.0    115.0    0.0    0.0    0.0    350.642    4.741    350.642    351.146    354.865    356.068  
 327.0    322.0    14.0    3.0    325.0    1.0    1.0    0.0    361.976    4.732    361.976    362.479    366.19    367.793  
 173.0    173.0    14.0    3.0    175.0    0.0    0.0    0.0    373.072    4.744    373.072    373.576    377.298    378.951  
 286.0    292.0    14.0    3.0    285.0    1.0    1.0    0.0    382.899    4.742    382.899    383.403    387.122    388.024  
 76.0    76.0    14.0    3.0    75.0    0.0    0.0    0.0    393.544    4.737    393.544    394.047    397.763    398.882  
 209.0    200.0    14.0    3.0    205.0    1.0    0.0    1.0    403.944    4.745    403.944    404.447    408.17    409.99  
 103.0    103.0    14.0    3.0    105.0    0.0    1.0    1.0    414.462    4.734    414.462    414.966    418.678    420.598  
 158.0    158.0    14.0    3.0    155.0    0.0    0.0    0.0    424.66    4.744    424.66    425.164    428.885    429.971  
 341.0    351.0    14.0    3.0    345.0    1.0    1.0    0.0    435.866    4.746    435.866    436.371    440.093    441.546  
 52.563    52.563    52.563    52.563    52.563    52.563    52.563    52.563    52.563    52.563    52.563    52.563    52.563    52.563  
