 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 3.0    7.0    5.0    145.0    316.0    208.0    68.0    333.9    228.0    77.0    2.0    1.0    0.0    1.0    138.0    7.0    7.0    7.0    316.0    333.9    4.0    208.0    228.0    3.0    145.0    2.0    68.0    1.0    42.689    43.729    51.085    56.44    5.024    61.464    14.251  
 3.0    0.2    12.0    121.0    57.0    324.0    226.0    37.9    298.8    105.0    2.0    2.0    0.0    1.0    111.0    10.0    10.0    -10.0    57.0    37.9    1.0    324.0    298.8    4.0    121.0    2.0    226.0    3.0    62.102    63.67    63.115    76.025    5.02    81.045    14.421  
 3.0    0.2    11.8    222.0    322.0    110.0    67.0    335.2    134.1    155.0    3.0    1.0    0.0    1.0    208.0    14.0    14.0    14.0    322.0    335.2    4.0    110.0    134.1    2.0    222.0    3.0    67.0    1.0    81.682    82.694    83.25    95.404    5.021    100.425    14.22  
 3.0    0.2    11.8    57.0    308.0    224.0    158.0    292.4    202.8    101.0    1.0    1.0    0.0    0.0    41.0    16.0    16.0    -16.0    308.0    292.4    4.0    224.0    202.8    3.0    57.0    1.0    158.0    2.0    101.063    102.075    102.631    114.785    5.02    119.806    14.221  
 3.0    7.0    12.0    62.0    241.0    331.0    145.0    226.6    301.5    83.0    1.0    2.0    0.0    1.0    48.0    14.0    14.0    -14.0    241.0    226.6    3.0    331.0    301.5    4.0    62.0    1.0    145.0    2.0    120.444    128.812    121.456    141.167    5.025    146.192    21.221  
 3.0    7.0    12.0    313.0    135.0    246.0    41.0    120.2    216.7    88.0    4.0    2.0    0.0    0.0    337.0    -24.0    24.0    24.0    135.0    120.2    2.0    246.0    216.7    3.0    313.0    4.0    41.0    1.0    146.829    155.197    147.841    167.551    5.026    172.578    21.22  
 3.0    0.2    12.0    205.0    335.0    153.0    25.0    315.7    128.7    180.0    3.0    2.0    0.0    0.0    215.0    -10.0    10.0    10.0    335.0    315.7    4.0    153.0    128.7    2.0    205.0    3.0    25.0    1.0    173.215    174.782    174.226    187.135    5.023    192.158    14.419  
 1.0    7.0    12.0    314.0    64.0    218.0    303.0    34.8    125.0    11.0    4.0    2.0    -1.0    0.0    319.0    -5.0    5.0    -5.0    314.0    303.0    4.0    64.0    34.8    1.0    218.0    3.0    125.0    2.0    192.795    201.164    193.807    213.519    5.026    218.544    21.221  
 3.0    7.0    12.0    317.0    32.0    212.0    139.0    48.8    233.4    178.0    4.0    2.0    0.0    1.0    302.0    15.0    15.0    15.0    32.0    48.8    1.0    212.0    233.4    3.0    317.0    4.0    139.0    2.0    219.182    227.551    220.194    239.906    5.024    244.93    21.223  
 3.0    7.0    12.0    147.0    52.0    316.0    237.0    37.7    290.4    90.0    2.0    2.0    0.0    1.0    120.0    27.0    27.0    -27.0    52.0    37.7    1.0    316.0    290.4    4.0    147.0    2.0    237.0    3.0    245.568    253.936    246.579    266.291    5.024    271.316    21.222  
 1.0    7.0    5.0    312.0    246.0    156.0    299.2    223.8    52.0    12.8    4.0    1.0    -1.0    1.0    310.0    2.0    2.0    2.0    312.0    299.2    4.0    246.0    223.8    3.0    156.0    2.0    52.0    1.0    271.953    272.965    280.321    285.676    5.021    290.696    14.221  
 1.0    0.2    11.8    323.0    242.0    120.0    307.0    219.0    63.0    16.0    4.0    1.0    -1.0    1.0    313.0    10.0    10.0    10.0    323.0    307.0    4.0    242.0    219.0    3.0    120.0    2.0    63.0    1.0    291.334    292.346    292.902    305.056    5.021    310.077    14.221  
