 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 1.0    7.0    5.0    125.0    222.0    31.0    144.3    249.4    296.0    19.3    2.0    1.0    1.0    1.0    143.0    -18.0    18.0    18.0    125.0    144.3    2.0    222.0    249.4    3.0    31.0    1.0    296.0    4.0    49.943    50.983    58.34    63.695    5.024    68.719    14.251  
 1.0    0.2    12.0    122.0    302.0    219.0    134.6    322.0    54.0    12.6    2.0    2.0    1.0    0.0    123.0    -1.0    1.0    1.0    122.0    134.6    2.0    302.0    322.0    4.0    219.0    3.0    54.0    1.0    69.357    70.925    70.369    83.28    5.02    88.3    14.421  
 3.0    7.0    5.0    339.0    121.0    31.0    243.0    131.3    57.7    96.0    4.0    1.0    0.0    0.0    341.0    -2.0    2.0    -2.0    121.0    131.3    2.0    31.0    57.7    1.0    339.0    4.0    243.0    3.0    88.936    89.948    97.303    102.657    5.023    107.68    14.219  
 1.0    0.2    11.8    56.0    318.0    211.0    40.9    296.4    122.0    15.1    1.0    1.0    -1.0    0.0    31.0    25.0    25.0    25.0    56.0    40.9    1.0    318.0    296.4    4.0    211.0    3.0    122.0    2.0    108.318    109.33    109.886    122.041    5.02    127.061    14.222  
 1.0    7.0    12.0    237.0    144.0    302.0    223.3    119.6    60.0    13.7    3.0    2.0    -1.0    1.0    257.0    -20.0    20.0    -20.0    237.0    223.3    3.0    144.0    119.6    2.0    302.0    4.0    60.0    1.0    127.698    136.067    128.71    148.42    5.026    153.447    21.22  
 3.0    0.2    12.0    134.0    316.0    213.0    60.0    333.3    237.3    74.0    2.0    2.0    0.0    0.0    158.0    -24.0    24.0    -24.0    316.0    333.3    4.0    213.0    237.3    3.0    134.0    2.0    60.0    1.0    154.085    155.651    155.096    168.005    5.023    173.027    14.419  
 3.0    0.2    11.8    134.0    206.0    28.0    295.0    225.1    48.2    161.0    2.0    1.0    0.0    1.0    143.0    -9.0    9.0    9.0    206.0    225.1    3.0    28.0    48.2    1.0    134.0    2.0    295.0    4.0    173.666    174.677    175.233    187.388    5.02    192.408    14.221  
 1.0    0.2    11.8    125.0    309.0    53.0    140.9    330.5    240.0    15.9    2.0    1.0    1.0    1.0    118.0    7.0    7.0    -7.0    125.0    140.9    2.0    309.0    330.5    4.0    53.0    1.0    240.0    3.0    193.046    194.057    194.613    206.767    5.022    211.789    14.22  
 1.0    7.0    12.0    123.0    214.0    315.0    138.7    236.3    48.0    15.7    2.0    2.0    1.0    0.0    133.0    -10.0    10.0    10.0    123.0    138.7    2.0    214.0    236.3    3.0    315.0    4.0    48.0    1.0    212.426    220.794    213.438    233.148    5.027    238.175    21.22  
 1.0    7.0    12.0    308.0    135.0    246.0    297.4    112.0    34.0    10.6    4.0    2.0    -1.0    1.0    303.0    5.0    5.0    5.0    308.0    297.4    4.0    135.0    112.0    2.0    246.0    3.0    34.0    1.0    238.812    247.181    239.824    259.536    5.024    264.56    21.223  
 3.0    0.2    12.0    154.0    219.0    31.0    308.0    237.8    59.2    154.0    2.0    2.0    0.0    1.0    160.0    -6.0    6.0    6.0    219.0    237.8    3.0    31.0    59.2    1.0    154.0    2.0    308.0    4.0    265.198    266.764    266.209    279.119    5.022    284.141    14.42  
 3.0    0.2    12.0    305.0    55.0    153.0    201.0    35.1    131.0    104.0    4.0    2.0    0.0    1.0    304.0    1.0    1.0    1.0    55.0    35.1    1.0    153.0    131.0    2.0    305.0    4.0    201.0    3.0    284.778    286.346    285.791    298.7    5.022    303.722    14.42  
 1.0    0.2    12.0    326.0    135.0    31.0    336.2    156.1    246.0    10.2    4.0    2.0    1.0    0.0    339.0    -13.0    13.0    13.0    326.0    336.2    4.0    135.0    156.1    2.0    31.0    1.0    246.0    3.0    304.359    305.925    305.371    318.28    5.023    323.303    14.419  
 3.0    0.2    11.8    110.0    55.0    207.0    298.0    68.9    227.1    172.0    2.0    1.0    0.0    0.0    108.0    2.0    2.0    2.0    55.0    68.9    1.0    207.0    227.1    3.0    110.0    2.0    298.0    4.0    323.94    324.951    325.507    337.66    5.023    342.683    14.219  
 3.0    0.2    11.8    49.0    238.0    141.0    299.0    225.9    113.6    110.0    1.0    1.0    0.0    0.0    23.0    26.0    26.0    26.0    238.0    225.9    3.0    141.0    113.6    2.0    49.0    1.0    299.0    4.0    343.321    344.335    344.891    357.044    5.02    362.064    14.222  
 1.0    0.2    11.8    138.0    318.0    242.0    123.6    292.0    64.0    14.4    2.0    1.0    -1.0    0.0    123.0    15.0    15.0    15.0    138.0    123.6    2.0    318.0    292.0    4.0    242.0    3.0    64.0    1.0    362.702    363.714    364.27    376.424    5.021    381.445    14.222  
 1.0    7.0    12.0    138.0    26.0    249.0    153.2    50.1    301.0    15.2    2.0    2.0    1.0    1.0    163.0    -25.0    25.0    25.0    138.0    153.2    2.0    26.0    50.1    1.0    249.0    3.0    301.0    4.0    382.083    390.449    383.094    402.804    5.026    407.83    21.221  
 1.0    0.2    11.8    314.0    142.0    23.0    300.0    112.3    230.0    14.0    4.0    1.0    -1.0    1.0    319.0    -5.0    5.0    -5.0    314.0    300.0    4.0    142.0    112.3    2.0    23.0    1.0    230.0    3.0    408.469    409.48    410.035    422.19    5.021    427.211    14.22  
 1.0    0.2    12.0    140.0    239.0    21.0    124.7    215.6    333.0    15.3    2.0    2.0    -1.0    1.0    144.0    -4.0    4.0    -4.0    140.0    124.7    2.0    239.0    215.6    3.0    21.0    1.0    333.0    4.0    427.848    429.415    428.86    441.77    5.022    446.792    14.42  
 1.0    0.2    11.8    302.0    44.0    228.0    315.5    68.9    144.0    13.5    4.0    1.0    1.0    0.0    307.0    -5.0    5.0    5.0    302.0    315.5    4.0    44.0    68.9    1.0    228.0    3.0    144.0    2.0    447.429    448.441    448.996    461.15    5.023    466.172    14.219  
 1.0    7.0    5.0    127.0    44.0    227.0    146.8    67.3    300.0    19.8    2.0    1.0    1.0    1.0    137.0    -10.0    10.0    10.0    127.0    146.8    2.0    44.0    67.3    1.0    227.0    3.0    300.0    4.0    466.809    467.82    475.174    480.529    5.024    485.553    14.217  
 1.0    7.0    5.0    140.0    224.0    317.0    125.3    202.5    54.0    14.7    2.0    1.0    -1.0    0.0    169.0    -29.0    29.0    -29.0    140.0    125.3    2.0    224.0    202.5    3.0    317.0    4.0    54.0    1.0    486.191    487.203    494.559    499.912    5.021    504.934    14.22  
 1.0    7.0    5.0    225.0    152.0    21.0    213.1    128.5    335.0    11.9    3.0    1.0    -1.0    1.0    254.0    -29.0    29.0    -29.0    225.0    213.1    3.0    152.0    128.5    2.0    21.0    1.0    335.0    4.0    505.571    506.582    513.937    519.291    5.024    524.314    14.218  
 3.0    7.0    5.0    151.0    231.0    23.0    315.0    248.6    52.8    164.0    2.0    1.0    0.0    0.0    155.0    -4.0    4.0    4.0    231.0    248.6    3.0    23.0    52.8    1.0    151.0    2.0    315.0    4.0    524.952    525.964    533.319    538.673    5.022    543.695    14.22  
 1.0    0.2    11.8    299.0    113.0    58.0    317.4    135.1    204.0    18.4    4.0    1.0    1.0    0.0    318.0    -19.0    19.0    19.0    299.0    317.4    4.0    113.0    135.1    2.0    58.0    1.0    204.0    3.0    544.333    545.344    545.9    558.053    5.022    563.076    14.219  
 3.0    7.0    12.0    61.0    200.0    118.0    303.0    213.3    138.4    118.0    1.0    2.0    0.0    0.0    59.0    2.0    2.0    2.0    200.0    213.3    3.0    118.0    138.4    2.0    61.0    1.0    303.0    4.0    563.712    572.081    564.724    584.435    5.026    589.461    21.221  
