 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 194.0    194.0    14.0    3.0    195.0    0.0    999.0    999.0    46.486    4.746    46.486    46.989    50.712    53.232  
 98.0    91.0    14.0    3.0    95.0    1.0    1.0    0.0    58.221    4.735    58.221    58.725    62.438    63.558  
 273.0    273.0    14.0    3.0    275.0    0.0    1.0    1.0    69.429    4.735    69.429    69.933    73.646    74.515  
 329.0    329.0    14.0    3.0    325.0    0.0    1.0    1.0    79.396    4.742    79.396    79.899    83.62    84.873  
 37.0    27.0    14.0    3.0    35.0    1.0    0.0    1.0    89.411    4.734    89.411    89.915    93.627    94.431  
 126.0    135.0    14.0    3.0    125.0    1.0    0.0    1.0    100.338    4.731    100.338    100.842    104.552    105.42  
 226.0    226.0    14.0    3.0    225.0    0.0    1.0    1.0    110.716    4.745    110.717    111.22    114.943    117.246  
 283.0    283.0    14.0    3.0    285.0    0.0    1.0    1.0    121.843    4.742    121.843    122.347    126.067    127.053  
 357.0    357.0    14.0    3.0    355.0    0.0    0.0    0.0    131.628    4.731    131.628    132.132    135.841    137.61  
 173.0    167.0    14.0    3.0    175.0    1.0    0.0    1.0    142.162    4.737    142.162    142.665    146.382    147.134  
 246.0    246.0    14.0    3.0    245.0    0.0    1.0    1.0    152.114    4.744    152.114    152.617    156.339    157.558  
 78.0    69.0    14.0    3.0    75.0    1.0    0.0    1.0    163.6    4.732    163.6    164.104    167.814    168.85  
 164.0    156.0    14.0    3.0    165.0    1.0    0.0    1.0    174.884    4.739    174.884    175.388    179.105    180.358  
 108.0    117.0    14.0    3.0    105.0    1.0    999.0    999.0    185.166    4.732    185.166    185.67    189.38    191.898  
 332.0    332.0    14.0    3.0    335.0    0.0    0.0    0.0    195.628    4.744    195.628    196.132    199.854    200.723  
 47.0    54.0    14.0    3.0    45.0    1.0    999.0    999.0    205.835    4.745    205.835    206.339    210.061    212.58  
 347.0    347.0    14.0    3.0    345.0    0.0    1.0    1.0    216.149    4.737    216.149    216.653    220.369    221.421  
 144.0    153.0    14.0    3.0    145.0    1.0    1.0    0.0    226.481    4.747    226.481    226.987    230.709    232.146  
 212.0    212.0    14.0    3.0    215.0    0.0    1.0    1.0    236.331    4.737    236.331    236.835    240.55    241.819  
 56.0    66.0    14.0    3.0    55.0    1.0    0.0    1.0    247.421    4.738    247.421    247.925    251.641    253.127  
 186.0    186.0    14.0    3.0    185.0    0.0    1.0    1.0    257.503    4.748    257.503    258.006    261.732    263.068  
 69.0    76.0    14.0    3.0    65.0    1.0    0.0    1.0    268.993    4.732    268.993    269.497    273.207    274.459  
 308.0    308.0    14.0    3.0    305.0    0.0    1.0    1.0    280.658    4.743    280.658    281.162    284.882    285.851  
 201.0    201.0    14.0    3.0    205.0    0.0    1.0    1.0    292.202    4.739    292.202    292.706    296.424    297.559  
 232.0    232.0    14.0    3.0    235.0    0.0    1.0    1.0    302.585    4.732    302.585    303.088    306.798    308.501  
 319.0    319.0    14.0    3.0    315.0    0.0    1.0    1.0    313.908    4.733    313.908    314.413    318.123    319.025  
 89.0    84.0    14.0    3.0    85.0    1.0    999.0    999.0    324.194    4.737    324.194    324.698    328.413    330.932  
 116.0    124.0    14.0    3.0    115.0    1.0    0.0    1.0    335.782    4.742    335.782    336.285    340.005    341.391  
 133.0    143.0    14.0    3.0    135.0    1.0    999.0    999.0    345.876    4.738    345.876    346.381    350.096    352.615  
 29.0    35.0    14.0    3.0    25.0    1.0    999.0    999.0    356.063    4.742    356.063    356.567    360.287    362.805  
 13.0    4.0    14.0    3.0    15.0    1.0    999.0    999.0    365.995    4.733    365.995    366.499    370.21    372.728  
 258.0    258.0    14.0    3.0    255.0    0.0    999.0    999.0    377.452    4.735    377.452    377.956    381.669    384.187  
 299.0    299.0    14.0    3.0    295.0    0.0    999.0    999.0    387.44    4.737    387.44    387.944    391.659    394.177  
 8.0    3.0    14.0    3.0    5.0    1.0    999.0    999.0    399.041    4.746    399.041    399.544    403.268    405.787  
 269.0    269.0    14.0    3.0    265.0    0.0    999.0    999.0    410.216    4.746    410.216    410.719    414.442    416.961  
 0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0  
 41.889    41.889    41.889    41.889    41.889    41.889    41.889    41.889    41.889    41.889    41.889    41.889    41.889    41.889  
