 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 299.0    292.0    16.0    3.0    295.0    1.0    1.0    0.0    48.289    4.739    48.289    48.793    52.509    54.065  
 128.0    128.0    16.0    3.0    125.0    0.0    0.0    0.0    58.135    4.732    58.135    58.64    62.35    63.371  
 152.0    152.0    16.0    3.0    155.0    0.0    0.0    0.0    68.367    4.741    68.367    68.87    72.591    73.81  
 14.0    14.0    16.0    3.0    15.0    0.0    0.0    0.0    78.451    4.748    78.451    78.956    82.681    84.401  
 201.0    206.0    16.0    3.0    205.0    1.0    0.0    1.0    90.133    4.742    90.133    90.636    94.356    95.526  
 263.0    254.0    16.0    3.0    265.0    1.0    1.0    0.0    100.017    4.731    100.017    100.52    104.23    105.483  
 226.0    217.0    16.0    3.0    225.0    1.0    1.0    0.0    111.192    4.731    111.192    111.696    115.405    116.341  
 329.0    321.0    16.0    3.0    325.0    1.0    0.0    1.0    121.796    4.735    121.796    122.301    126.012    127.699  
 183.0    173.0    16.0    3.0    185.0    1.0    1.0    0.0    132.253    4.736    132.253    132.756    136.47    137.74  
 146.0    146.0    16.0    3.0    145.0    0.0    0.0    0.0    142.202    4.744    142.202    142.706    146.427    147.614  
 176.0    176.0    16.0    3.0    175.0    0.0    0.0    0.0    153.709    4.745    153.709    154.213    157.936    159.339  
 312.0    322.0    16.0    3.0    315.0    1.0    1.0    0.0    164.226    4.736    164.226    164.731    168.443    169.713  
 21.0    21.0    16.0    3.0    25.0    0.0    0.0    0.0    174.754    4.732    174.754    175.257    178.968    180.021  
 257.0    249.0    16.0    3.0    255.0    1.0    1.0    0.0    185.028    4.732    185.028    185.532    189.242    190.428  
 196.0    203.0    16.0    3.0    195.0    1.0    0.0    1.0    195.643    4.741    195.643    196.147    199.866    201.419  
 288.0    278.0    16.0    3.0    285.0    1.0    1.0    0.0    205.447    4.745    205.447    205.951    209.674    211.143  
 33.0    33.0    16.0    3.0    35.0    0.0    0.0    0.0    215.734    4.732    215.734    216.237    219.947    221.267  
 87.0    87.0    16.0    3.0    85.0    0.0    0.0    0.0    227.119    4.738    227.119    227.623    231.339    232.726  
 301.0    294.0    16.0    3.0    305.0    1.0    1.0    0.0    237.756    4.741    237.756    238.26    241.98    243.25  
 138.0    138.0    16.0    3.0    135.0    0.0    0.0    0.0    247.561    4.745    247.561    248.065    251.787    253.791  
 62.0    62.0    16.0    3.0    65.0    0.0    0.0    0.0    257.368    4.745    257.368    257.873    261.594    262.797  
 344.0    338.0    16.0    3.0    345.0    1.0    0.0    1.0    268.365    4.739    268.365    268.869    272.585    274.656  
 44.0    44.0    16.0    3.0    45.0    0.0    0.0    0.0    279.137    4.74    279.137    279.642    283.36    284.497  
 274.0    280.0    16.0    3.0    275.0    1.0    1.0    0.0    289.992    4.744    289.992    290.497    294.218    295.688  
 98.0    98.0    16.0    3.0    95.0    0.0    0.0    0.0    300.956    4.737    300.956    301.461    305.176    307.08  
 7.0    7.0    16.0    3.0    5.0    0.0    0.0    0.0    312.027    4.741    312.027    312.532    316.251    317.387  
 219.0    227.0    16.0    3.0    215.0    1.0    0.0    1.0    322.721    4.739    322.721    323.225    326.942    329.279  
 117.0    117.0    16.0    3.0    115.0    0.0    0.0    0.0    334.403    4.749    334.403    334.908    338.634    339.803  
 104.0    104.0    16.0    3.0    105.0    0.0    1.0    1.0    344.875    4.735    344.875    345.378    349.091    351.178  
 239.0    230.0    16.0    3.0    235.0    1.0    0.0    1.0    355.473    4.744    355.473    355.977    359.699    361.402  
 51.0    51.0    16.0    3.0    55.0    0.0    1.0    1.0    365.299    4.742    365.3    365.803    369.523    370.959  
 334.0    342.0    16.0    3.0    335.0    1.0    1.0    0.0    375.545    4.738    375.545    376.049    379.763    381.317  
 73.0    73.0    16.0    3.0    75.0    0.0    0.0    0.0    387.105    4.735    387.105    387.608    391.322    392.925  
 242.0    248.0    16.0    3.0    245.0    1.0    1.0    0.0    397.414    4.734    397.414    397.918    401.629    403.766  
 168.0    168.0    16.0    3.0    165.0    0.0    0.0    0.0    408.052    4.737    408.052    408.555    412.27    413.59  
 357.0    7.0    16.0    3.0    355.0    1.0    1.0    0.0    418.381    4.731    418.381    418.885    422.594    423.696  
 44.003    44.003    44.003    44.003    44.003    44.003    44.003    44.003    44.003    44.003    44.003    44.003    44.003    44.003  
