 type    delay1    delay2    T    NT1    NT2    Dist    Dist_NT1    Dist_NT2    distance_T_dist    cue    order    orient    horiz_vertical    A_R    A_err    Abs_angle_error    Error_interference    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    presentation_att_cue_time    presentation_target_time    presentation_dist_time    presentation_probe_time    R_T    trial_time    disp_time  
 3.0    0.2    12.0    291.0    218.0    122.0    58.0    229.1    145.7    127.0    4.0    2.0    0.0    0.0    288.0    3.0    3.0    -3.0    218.0    229.1    3.0    122.0    145.7    2.0    291.0    4.0    58.0    1.0    42.572    44.168    43.613    56.523    5.025    61.547    14.45  
 1.0    0.2    12.0    336.0    237.0    38.0    325.5    212.6    143.0    10.5    4.0    2.0    -1.0    1.0    316.0    20.0    20.0    20.0    336.0    325.5    4.0    237.0    212.6    3.0    38.0    1.0    143.0    2.0    62.185    63.753    63.198    76.108    5.02    81.128    14.421  
 1.0    7.0    12.0    218.0    142.0    327.0    205.8    116.9    60.0    12.2    3.0    2.0    -1.0    1.0    218.0    0.0    0.0    0.0    218.0    205.8    3.0    142.0    116.9    2.0    327.0    4.0    60.0    1.0    81.779    90.148    82.791    102.502    5.029    107.531    21.235  
 3.0    7.0    12.0    123.0    235.0    333.0    32.0    224.4    308.7    91.0    2.0    2.0    0.0    0.0    136.0    -13.0    13.0    -13.0    235.0    224.4    3.0    333.0    308.7    4.0    123.0    2.0    32.0    1.0    108.169    116.537    109.181    128.893    5.024    133.917    21.222  
 3.0    7.0    12.0    217.0    132.0    53.0    336.0    121.6    31.1    119.0    3.0    2.0    0.0    1.0    216.0    1.0    1.0    -1.0    132.0    121.6    2.0    53.0    31.1    1.0    217.0    3.0    336.0    4.0    134.555    142.922    135.566    155.276    5.026    160.302    21.221  
 3.0    0.2    12.0    293.0    63.0    141.0    226.0    50.9    120.3    67.0    4.0    2.0    0.0    0.0    293.0    0.0    0.0    0.0    63.0    50.9    1.0    141.0    120.3    2.0    293.0    4.0    226.0    3.0    160.94    162.507    161.952    174.861    5.022    179.883    14.42  
 1.0    0.2    12.0    145.0    306.0    235.0    159.3    334.2    25.0    14.3    2.0    2.0    1.0    0.0    143.0    2.0    2.0    -2.0    145.0    159.3    2.0    306.0    334.2    4.0    235.0    3.0    25.0    1.0    180.52    182.088    181.532    194.442    5.022    199.464    14.42  
 3.0    7.0    5.0    223.0    128.0    60.0    298.0    110.2    37.3    75.0    3.0    1.0    0.0    0.0    204.0    19.0    19.0    -19.0    128.0    110.2    2.0    60.0    37.3    1.0    223.0    3.0    298.0    4.0    200.102    201.115    208.47    213.823    5.021    218.845    14.22  
 1.0    0.2    11.8    305.0    133.0    227.0    291.8    112.3    68.0    13.2    4.0    1.0    -1.0    0.0    321.0    -16.0    16.0    -16.0    305.0    291.8    4.0    133.0    112.3    2.0    227.0    3.0    68.0    1.0    219.482    220.495    221.05    233.203    5.023    238.225    14.219  
 3.0    0.2    11.8    294.0    33.0    114.0    249.0    48.0    134.7    45.0    4.0    1.0    0.0    0.0    300.0    -6.0    6.0    -6.0    33.0    48.0    1.0    114.0    134.7    2.0    294.0    4.0    249.0    3.0    238.863    239.875    240.43    252.584    5.022    257.606    14.219  
 1.0    0.2    12.0    34.0    311.0    211.0    52.1    333.2    139.0    18.1    1.0    2.0    1.0    1.0    31.0    3.0    3.0    -3.0    34.0    52.1    1.0    311.0    333.2    4.0    211.0    3.0    139.0    2.0    258.244    259.813    259.256    272.167    5.02    277.187    14.422  
 1.0    7.0    5.0    51.0    244.0    158.0    39.5    221.6    337.0    11.5    1.0    1.0    -1.0    0.0    50.0    1.0    1.0    1.0    51.0    39.5    1.0    244.0    221.6    3.0    158.0    2.0    337.0    4.0    277.824    278.841    286.198    291.551    5.016    296.567    14.225  
 1.0    0.2    11.8    113.0    208.0    299.0    124.9    231.7    51.0    11.9    2.0    1.0    1.0    1.0    97.0    16.0    16.0    -16.0    113.0    124.9    2.0    208.0    231.7    3.0    299.0    4.0    51.0    1.0    297.205    298.217    298.773    310.927    5.021    315.948    14.221  
 3.0    0.2    12.0    220.0    314.0    62.0    119.0    297.1    33.6    101.0    3.0    2.0    0.0    1.0    221.0    -1.0    1.0    -1.0    314.0    297.1    4.0    62.0    33.6    1.0    220.0    3.0    119.0    2.0    316.586    318.153    317.598    330.507    5.022    335.529    14.42  
 1.0    0.2    11.8    212.0    25.0    323.0    223.4    52.9    111.0    11.4    3.0    1.0    1.0    0.0    192.0    20.0    20.0    -20.0    212.0    223.4    3.0    25.0    52.9    1.0    323.0    4.0    111.0    2.0    336.167    337.179    337.735    349.89    5.02    354.91    14.222  
 1.0    0.2    12.0    42.0    239.0    290.0    28.2    210.3    115.0    13.8    1.0    2.0    -1.0    1.0    40.0    2.0    2.0    2.0    42.0    28.2    1.0    239.0    210.3    3.0    290.0    4.0    115.0    2.0    355.547    357.115    356.559    369.469    5.022    374.491    14.42  
 1.0    7.0    5.0    59.0    304.0    216.0    69.3    327.5    135.0    10.3    1.0    1.0    1.0    0.0    45.0    14.0    14.0    -14.0    59.0    69.3    1.0    304.0    327.5    4.0    216.0    3.0    135.0    2.0    375.128    376.14    383.496    388.85    5.022    393.871    14.22  
 3.0    7.0    12.0    227.0    138.0    323.0    21.0    123.2    296.3    154.0    3.0    2.0    0.0    1.0    228.0    -1.0    1.0    1.0    138.0    123.2    2.0    323.0    296.3    4.0    227.0    3.0    21.0    1.0    394.509    402.878    395.521    415.233    5.024    420.257    21.222  
 3.0    0.2    12.0    46.0    316.0    206.0    141.0    326.2    231.9    95.0    1.0    2.0    0.0    0.0    28.0    18.0    18.0    -18.0    316.0    326.2    4.0    206.0    231.9    3.0    46.0    1.0    141.0    2.0    420.895    422.463    421.907    434.816    5.022    439.838    14.42  
 3.0    7.0    5.0    236.0    321.0    65.0    121.0    302.4    36.1    115.0    3.0    1.0    0.0    1.0    225.0    11.0    11.0    11.0    321.0    302.4    4.0    65.0    36.1    1.0    236.0    3.0    121.0    2.0    440.475    441.488    448.845    454.201    5.017    459.218    14.225  
 1.0    0.2    12.0    318.0    50.0    157.0    306.7    25.3    219.0    11.3    4.0    2.0    -1.0    0.0    300.0    18.0    18.0    18.0    318.0    306.7    4.0    50.0    25.3    1.0    157.0    2.0    219.0    3.0    459.855    461.422    460.867    473.777    5.022    478.799    14.42  
 1.0    7.0    12.0    46.0    237.0    338.0    33.1    211.3    153.0    12.9    1.0    2.0    -1.0    0.0    34.0    12.0    12.0    12.0    46.0    33.1    1.0    237.0    211.3    3.0    338.0    4.0    153.0    2.0    479.436    487.804    480.448    500.158    5.027    505.185    21.22  
 1.0    7.0    12.0    217.0    49.0    125.0    201.6    27.1    296.0    15.4    3.0    2.0    -1.0    1.0    209.0    8.0    8.0    8.0    217.0    201.6    3.0    49.0    27.1    1.0    125.0    2.0    296.0    4.0    505.823    514.19    506.835    526.545    5.025    531.571    21.222  
 1.0    7.0    12.0    121.0    206.0    44.0    135.0    228.7    307.0    14.0    2.0    2.0    1.0    1.0    115.0    6.0    6.0    -6.0    121.0    135.0    2.0    206.0    228.7    3.0    44.0    1.0    307.0    4.0    532.208    540.576    533.22    552.929    5.028    557.957    21.219  
 3.0    0.2    12.0    122.0    310.0    212.0    29.0    327.9    236.0    93.0    2.0    2.0    0.0    0.0    123.0    -1.0    1.0    -1.0    310.0    327.9    4.0    212.0    236.0    3.0    122.0    2.0    29.0    1.0    558.594    560.162    559.606    572.516    5.022    577.537    14.42  
 1.0    0.2    12.0    247.0    139.0    313.0    232.9    117.3    21.0    14.1    3.0    2.0    -1.0    0.0    242.0    5.0    5.0    5.0    247.0    232.9    3.0    139.0    117.3    2.0    313.0    4.0    21.0    1.0    578.176    579.743    579.187    592.097    5.021    597.118    14.421  
