 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 11.0    11.0    14.0    3.0    15.0    0.0    1.0    1.0    60.678    4.747    60.678    61.182    64.906    65.827  
 332.0    337.0    14.0    3.0    335.0    1.0    1.0    0.0    71.466    4.733    71.466    71.97    75.681    76.934  
 262.0    268.0    14.0    3.0    265.0    1.0    999.0    999.0    82.212    4.745    82.212    82.716    86.439    88.957  
 249.0    254.0    14.0    3.0    245.0    1.0    999.0    999.0    92.647    4.735    92.647    93.15    96.863    99.381  
 304.0    314.0    14.0    3.0    305.0    1.0    1.0    0.0    104.24    4.733    104.24    104.744    108.454    109.674  
 239.0    230.0    14.0    3.0    235.0    1.0    999.0    999.0    115.786    4.745    115.786    116.293    120.013    122.531  
 63.0    63.0    14.0    3.0    65.0    0.0    999.0    999.0    126.495    4.744    126.495    126.998    130.72    133.239  
 186.0    179.0    14.0    3.0    185.0    1.0    0.0    1.0    137.208    4.739    137.208    137.712    141.428    143.684  
 59.0    59.0    14.0    3.0    55.0    0.0    0.0    0.0    147.759    4.746    147.759    148.262    151.986    152.721  
 293.0    300.0    14.0    3.0    295.0    1.0    0.0    1.0    158.347    4.732    158.347    158.85    162.56    163.513  
 4.0    4.0    14.0    3.0    5.0    0.0    1.0    1.0    168.672    4.731    168.672    169.175    172.885    174.387  
 214.0    222.0    14.0    3.0    215.0    1.0    999.0    999.0    178.476    4.733    178.476    178.98    182.691    185.21  
 144.0    144.0    14.0    3.0    145.0    0.0    999.0    999.0    189.388    4.746    189.388    189.892    193.616    196.134  
 357.0    4.0    14.0    3.0    355.0    1.0    1.0    0.0    200.448    4.745    200.448    200.951    204.674    205.61  
 42.0    42.0    14.0    3.0    45.0    0.0    0.0    0.0    212.125    4.742    212.125    212.629    216.349    218.019  
 97.0    97.0    14.0    3.0    95.0    0.0    0.0    0.0    222.779    4.746    222.779    223.284    227.007    228.076  
 126.0    126.0    14.0    3.0    125.0    0.0    0.0    0.0    233.288    4.745    233.288    233.792    237.514    238.5  
 251.0    245.0    14.0    3.0    255.0    1.0    0.0    1.0    243.306    4.734    243.306    243.81    247.522    248.708  
 192.0    183.0    14.0    3.0    195.0    1.0    1.0    0.0    253.523    4.741    253.523    254.028    257.746    258.782  
 87.0    87.0    14.0    3.0    85.0    0.0    0.0    0.0    263.437    4.734    263.437    263.941    267.653    269.606  
 228.0    222.0    14.0    3.0    225.0    1.0    0.0    1.0    274.593    4.737    274.593    275.096    278.811    279.58  
 276.0    268.0    14.0    3.0    275.0    1.0    1.0    0.0    286.062    4.742    286.062    286.565    290.286    291.338  
 32.0    32.0    14.0    3.0    35.0    0.0    0.0    0.0    296.307    4.737    296.307    296.811    300.527    302.163  
 137.0    137.0    14.0    3.0    135.0    0.0    999.0    999.0    306.618    4.734    306.618    307.121    310.834    313.352  
 317.0    327.0    14.0    3.0    315.0    1.0    1.0    0.0    317.244    4.732    317.244    317.749    321.458    322.494  
 168.0    168.0    14.0    3.0    165.0    0.0    0.0    0.0    328.91    4.742    328.91    329.413    333.133    334.052  
 28.0    28.0    14.0    3.0    25.0    0.0    0.0    0.0    340.025    4.734    340.025    340.529    344.242    345.528  
 116.0    116.0    14.0    3.0    115.0    0.0    0.0    0.0    351.364    4.737    351.364    351.867    355.583    357.303  
 327.0    320.0    14.0    3.0    325.0    1.0    999.0    999.0    362.515    4.745    362.515    363.019    366.741    369.26  
 174.0    174.0    14.0    3.0    175.0    0.0    0.0    0.0    374.0    4.735    374.0    374.505    378.216    380.019  
 283.0    291.0    14.0    3.0    285.0    1.0    1.0    0.0    384.127    4.731    384.127    384.63    388.34    390.243  
 71.0    71.0    14.0    3.0    75.0    0.0    0.0    0.0    394.441    4.742    394.441    394.944    398.664    399.967  
 207.0    201.0    14.0    3.0    205.0    1.0    1.0    0.0    405.256    4.734    405.256    405.759    409.472    410.808  
 106.0    106.0    14.0    3.0    105.0    0.0    999.0    999.0    415.474    4.74    415.474    415.978    419.696    422.214  
 151.0    151.0    14.0    3.0    155.0    0.0    0.0    0.0    427.124    4.732    427.124    427.628    431.338    432.491  
 344.0    351.0    14.0    3.0    345.0    1.0    999.0    999.0    437.398    4.732    437.398    437.902    441.612    444.13  
 55.733    55.733    55.733    55.733    55.733    55.733    55.733    55.733    55.733    55.733    55.733    55.733    55.733    55.733  
