 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 3.0    7.0    5.0    0.0    1.0    1.0    229.0    215.4    3.0    158.0    131.1    2.0    58.0    1.0    302.0    4.0    58.0    1.0    229.0    158.0    302.0    4.0    215.4    131.1    116.0  
 3.0    7.0    5.0    0.0    1.0    0.0    236.0    247.6    3.0    128.0    149.9    2.0    309.0    4.0    35.0    1.0    309.0    4.0    236.0    128.0    35.0    1.0    247.6    149.9    86.0  
 3.0    7.0    12.0    0.0    2.0    0.0    215.0    226.2    3.0    308.0    337.6    4.0    115.0    2.0    36.0    1.0    115.0    2.0    215.0    308.0    36.0    1.0    226.2    337.6    79.0  
 3.0    7.0    5.0    0.0    1.0    1.0    233.0    246.8    3.0    123.0    152.4    2.0    25.0    1.0    322.0    4.0    25.0    1.0    233.0    123.0    322.0    4.0    246.8    152.4    63.0  
 3.0    7.0    12.0    0.0    2.0    1.0    140.0    126.4    2.0    228.0    200.4    3.0    28.0    1.0    303.0    4.0    28.0    1.0    140.0    228.0    303.0    4.0    126.4    200.4    85.0  
 1.0    7.0    12.0    1.0    2.0    0.0    292.0    304.4    4.0    118.0    146.5    2.0    47.0    1.0    244.0    3.0    292.0    4.0    118.0    47.0    304.4    4.0    146.5    244.0    12.4  
 3.0    7.0    12.0    0.0    2.0    1.0    320.0    331.6    4.0    117.0    145.4    2.0    218.0    3.0    30.0    1.0    218.0    3.0    320.0    117.0    30.0    1.0    331.6    145.4    172.0  
 1.0    7.0    12.0    1.0    2.0    1.0    298.0    310.4    4.0    136.0    157.7    2.0    32.0    1.0    230.0    3.0    298.0    4.0    136.0    32.0    310.4    4.0    157.7    230.0    12.4  
 1.0    7.0    12.0    -1.0    2.0    0.0    122.0    110.9    2.0    226.0    205.6    3.0    33.0    1.0    330.0    4.0    122.0    2.0    226.0    33.0    110.9    2.0    205.6    330.0    11.1  
 3.0    7.0    12.0    0.0    2.0    0.0    326.0    309.3    4.0    131.0    111.0    2.0    239.0    3.0    68.0    1.0    239.0    3.0    326.0    131.0    68.0    1.0    309.3    111.0    171.0  
 1.0    7.0    12.0    -1.0    2.0    1.0    59.0    47.0    1.0    136.0    110.9    2.0    290.0    4.0    220.0    3.0    59.0    1.0    136.0    290.0    47.0    1.0    110.9    220.0    12.0  
 3.0    7.0    5.0    0.0    1.0    1.0    300.0    316.5    4.0    203.0    224.3    3.0    153.0    2.0    50.0    1.0    153.0    2.0    300.0    203.0    50.0    1.0    316.5    224.3    103.0  
 3.0    7.0    5.0    0.0    1.0    0.0    44.0    32.5    1.0    247.0    222.9    3.0    147.0    2.0    303.0    4.0    147.0    2.0    44.0    247.0    303.0    4.0    32.5    222.9    156.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    132.0    113.1    2.0    313.0    291.9    4.0    65.0    1.0    223.0    3.0    132.0    2.0    313.0    65.0    113.1    2.0    291.9    223.0    18.9  
 1.0    7.0    12.0    -1.0    2.0    0.0    334.0    321.6    4.0    240.0    211.9    3.0    48.0    1.0    153.0    2.0    334.0    4.0    240.0    48.0    321.6    4.0    211.9    153.0    12.4  
 1.0    7.0    5.0    -1.0    1.0    0.0    227.0    207.7    3.0    48.0    22.2    1.0    294.0    4.0    140.0    2.0    227.0    3.0    48.0    294.0    207.7    3.0    22.2    140.0    19.3  
 3.0    7.0    12.0    0.0    2.0    1.0    68.0    55.7    1.0    227.0    205.7    3.0    315.0    4.0    147.0    2.0    315.0    4.0    68.0    227.0    147.0    2.0    55.7    205.7    168.0  
 3.0    7.0    5.0    0.0    1.0    1.0    132.0    118.4    2.0    324.0    294.1    4.0    212.0    3.0    42.0    1.0    212.0    3.0    132.0    324.0    42.0    1.0    118.4    294.1    170.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    234.0    217.2    3.0    140.0    114.1    2.0    24.0    1.0    339.0    4.0    234.0    3.0    140.0    24.0    217.2    3.0    114.1    339.0    16.8  
 3.0    7.0    5.0    0.0    1.0    0.0    149.0    134.5    2.0    45.0    22.6    1.0    308.0    4.0    218.0    3.0    308.0    4.0    149.0    45.0    218.0    3.0    134.5    22.6    90.0  
 3.0    7.0    12.0    0.0    2.0    0.0    28.0    44.6    1.0    225.0    248.0    3.0    149.0    2.0    308.0    4.0    149.0    2.0    28.0    225.0    308.0    4.0    44.6    248.0    159.0  
 1.0    7.0    12.0    1.0    2.0    1.0    312.0    324.8    4.0    24.0    44.7    1.0    211.0    3.0    140.0    2.0    312.0    4.0    24.0    211.0    324.8    4.0    44.7    140.0    12.8  
 3.0    7.0    5.0    0.0    1.0    1.0    146.0    126.2    2.0    56.0    30.5    1.0    323.0    4.0    226.0    3.0    323.0    4.0    146.0    56.0    226.0    3.0    126.2    30.5    97.0  
 3.0    7.0    12.0    0.0    2.0    0.0    338.0    323.7    4.0    65.0    41.1    1.0    125.0    2.0    204.0    3.0    125.0    2.0    338.0    65.0    204.0    3.0    323.7    41.1    79.0  
 3.0    7.0    12.0    0.0    2.0    0.0    129.0    140.8    2.0    34.0    59.9    1.0    223.0    3.0    302.0    4.0    223.0    3.0    129.0    34.0    302.0    4.0    140.8    59.9    79.0  
 1.0    7.0    12.0    -1.0    2.0    1.0    48.0    32.8    1.0    240.0    210.8    3.0    330.0    4.0    134.0    2.0    48.0    1.0    240.0    330.0    32.8    1.0    210.8    134.0    15.2  
 1.0    7.0    5.0    -1.0    1.0    0.0    49.0    32.1    1.0    133.0    110.3    2.0    325.0    4.0    227.0    3.0    49.0    1.0    133.0    325.0    32.1    1.0    110.3    227.0    16.9  
 3.0    7.0    12.0    0.0    2.0    0.0    66.0    54.0    1.0    157.0    128.1    2.0    295.0    4.0    247.0    3.0    295.0    4.0    66.0    157.0    247.0    3.0    54.0    128.1    48.0  
