 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 3.0    7.0    5.0    0.0    1.0    1.0    235.0    246.2    3.0    36.0    61.7    1.0    130.0    2.0    321.0    4.0    130.0    2.0    235.0    36.0    321.0    4.0    246.2    61.7    169.0  
 1.0    7.0    5.0    1.0    1.0    0.0    227.0    244.8    3.0    307.0    330.4    4.0    159.0    2.0    37.0    1.0    227.0    3.0    307.0    159.0    244.8    3.0    330.4    37.0    17.8  
 1.0    7.0    12.0    1.0    2.0    0.0    119.0    138.5    2.0    301.0    321.0    4.0    62.0    1.0    239.0    3.0    119.0    2.0    301.0    62.0    138.5    2.0    321.0    239.0    19.5  
 3.0    7.0    12.0    0.0    2.0    0.0    225.0    209.4    3.0    146.0    117.4    2.0    48.0    1.0    312.0    4.0    48.0    1.0    225.0    146.0    312.0    4.0    209.4    117.4    96.0  
 3.0    7.0    5.0    0.0    1.0    0.0    134.0    147.1    2.0    24.0    44.0    1.0    302.0    4.0    245.0    3.0    302.0    4.0    134.0    24.0    245.0    3.0    147.1    44.0    57.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    333.0    321.3    4.0    47.0    25.3    1.0    214.0    3.0    158.0    2.0    333.0    4.0    47.0    214.0    321.3    4.0    25.3    158.0    11.7  
 3.0    7.0    5.0    0.0    1.0    0.0    53.0    39.1    1.0    149.0    120.4    2.0    214.0    3.0    317.0    4.0    214.0    3.0    53.0    149.0    317.0    4.0    39.1    120.4    103.0  
 3.0    7.0    5.0    0.0    1.0    0.0    129.0    142.8    2.0    202.0    225.6    3.0    23.0    1.0    318.0    4.0    23.0    1.0    129.0    202.0    318.0    4.0    142.8    225.6    65.0  
 1.0    7.0    5.0    1.0    1.0    0.0    204.0    220.7    3.0    126.0    148.3    2.0    337.0    4.0    28.0    1.0    204.0    3.0    126.0    337.0    220.7    3.0    148.3    28.0    16.7  
 1.0    7.0    5.0    1.0    1.0    1.0    302.0    316.0    4.0    206.0    234.8    3.0    37.0    1.0    155.0    2.0    302.0    4.0    206.0    37.0    316.0    4.0    234.8    155.0    14.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    65.0    45.5    1.0    331.0    307.7    4.0    135.0    2.0    246.0    3.0    65.0    1.0    331.0    135.0    45.5    1.0    307.7    246.0    19.5  
 3.0    7.0    12.0    0.0    2.0    0.0    296.0    313.9    4.0    116.0    136.0    2.0    52.0    1.0    221.0    3.0    52.0    1.0    296.0    116.0    221.0    3.0    313.9    136.0    169.0  
 1.0    7.0    5.0    1.0    1.0    0.0    132.0    142.0    2.0    316.0    336.9    4.0    243.0    3.0    43.0    1.0    132.0    2.0    316.0    243.0    142.0    2.0    336.9    43.0    10.0  
 1.0    7.0    12.0    1.0    2.0    0.0    41.0    58.5    1.0    303.0    329.1    4.0    231.0    3.0    122.0    2.0    41.0    1.0    303.0    231.0    58.5    1.0    329.1    122.0    17.5  
 1.0    7.0    5.0    -1.0    1.0    0.0    134.0    122.3    2.0    48.0    25.8    1.0    327.0    4.0    216.0    3.0    134.0    2.0    48.0    327.0    122.3    2.0    25.8    216.0    11.7  
