 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 3.0    7.0    5.0    0.0    1.0    1.0    22.0    41.8    1.0    298.0    326.4    4.0    151.0    2.0    200.0    3.0    151.0    2.0    22.0    298.0    200.0    3.0    41.8    326.4    49.0  
 1.0    7.0    5.0    1.0    1.0    1.0    39.0    50.6    1.0    302.0    326.2    4.0    144.0    2.0    230.0    3.0    39.0    1.0    302.0    144.0    50.6    1.0    326.2    230.0    11.6  
 3.0    7.0    5.0    0.0    1.0    1.0    326.0    312.7    4.0    48.0    27.9    1.0    245.0    3.0    135.0    2.0    245.0    3.0    326.0    48.0    135.0    2.0    312.7    27.9    110.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    159.0    146.4    2.0    242.0    219.1    3.0    33.0    1.0    304.0    4.0    159.0    2.0    242.0    33.0    146.4    2.0    219.1    304.0    12.6  
 3.0    7.0    5.0    0.0    1.0    0.0    227.0    210.4    3.0    325.0    300.7    4.0    29.0    1.0    111.0    2.0    29.0    1.0    227.0    325.0    111.0    2.0    210.4    300.7    82.0  
 1.0    7.0    5.0    1.0    1.0    1.0    141.0    151.8    2.0    218.0    239.2    3.0    43.0    1.0    309.0    4.0    141.0    2.0    218.0    43.0    151.8    2.0    239.2    309.0    10.8  
 1.0    7.0    5.0    1.0    1.0    1.0    227.0    241.1    3.0    20.0    49.8    1.0    139.0    2.0    327.0    4.0    227.0    3.0    20.0    139.0    241.1    3.0    49.8    327.0    14.1  
 3.0    7.0    5.0    0.0    1.0    1.0    139.0    156.4    2.0    209.0    237.7    3.0    26.0    1.0    295.0    4.0    26.0    1.0    139.0    209.0    295.0    4.0    156.4    237.7    91.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    59.0    39.9    1.0    230.0    200.8    3.0    311.0    4.0    141.0    2.0    59.0    1.0    230.0    311.0    39.9    1.0    200.8    141.0    19.1  
 1.0    7.0    12.0    1.0    2.0    0.0    34.0    51.1    1.0    118.0    142.8    2.0    311.0    4.0    212.0    3.0    34.0    1.0    118.0    311.0    51.1    1.0    142.8    212.0    17.1  
