 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 3.0    7.0    12.0    0.0    2.0    1.0    308.0    327.3    4.0    38.0    63.8    1.0    212.0    3.0    123.0    2.0    212.0    3.0    308.0    38.0    123.0    2.0    327.3    63.8    89.0  
 3.0    7.0    5.0    0.0    1.0    0.0    49.0    32.8    1.0    232.0    210.4    3.0    153.0    2.0    300.0    4.0    153.0    2.0    49.0    232.0    300.0    4.0    32.8    210.4    147.0  
 1.0    7.0    5.0    1.0    1.0    1.0    224.0    235.1    3.0    310.0    333.8    4.0    135.0    2.0    57.0    1.0    224.0    3.0    310.0    135.0    235.1    3.0    333.8    57.0    11.1  
 1.0    7.0    5.0    1.0    1.0    0.0    113.0    126.5    2.0    303.0    329.5    4.0    204.0    3.0    48.0    1.0    113.0    2.0    303.0    204.0    126.5    2.0    329.5    48.0    13.5  
 3.0    7.0    12.0    0.0    2.0    1.0    159.0    143.4    2.0    64.0    35.2    1.0    236.0    3.0    334.0    4.0    236.0    3.0    159.0    64.0    334.0    4.0    143.4    35.2    98.0  
 3.0    7.0    12.0    0.0    2.0    0.0    318.0    306.3    4.0    48.0    22.4    1.0    114.0    2.0    211.0    3.0    114.0    2.0    318.0    48.0    211.0    3.0    306.3    22.4    97.0  
 1.0    7.0    12.0    -1.0    2.0    1.0    153.0    138.1    2.0    243.0    221.5    3.0    325.0    4.0    37.0    1.0    153.0    2.0    243.0    325.0    138.1    2.0    221.5    37.0    14.9  
 1.0    7.0    12.0    -1.0    2.0    1.0    221.0    205.9    3.0    136.0    112.9    2.0    325.0    4.0    65.0    1.0    221.0    3.0    136.0    325.0    205.9    3.0    112.9    65.0    15.1  
 1.0    7.0    5.0    -1.0    1.0    1.0    242.0    226.6    3.0    147.0    123.9    2.0    337.0    4.0    36.0    1.0    242.0    3.0    147.0    337.0    226.6    3.0    123.9    36.0    15.4  
 1.0    7.0    5.0    1.0    1.0    1.0    221.0    239.4    3.0    115.0    136.8    2.0    300.0    4.0    69.0    1.0    221.0    3.0    115.0    300.0    239.4    3.0    136.8    69.0    18.4  
 3.0    7.0    12.0    0.0    2.0    1.0    246.0    233.1    3.0    330.0    302.5    4.0    43.0    1.0    116.0    2.0    43.0    1.0    246.0    330.0    116.0    2.0    233.1    302.5    73.0  
 3.0    7.0    5.0    0.0    1.0    1.0    222.0    207.0    3.0    149.0    128.9    2.0    67.0    1.0    297.0    4.0    67.0    1.0    222.0    149.0    297.0    4.0    207.0    128.9    130.0  
 3.0    7.0    5.0    0.0    1.0    1.0    35.0    52.5    1.0    208.0    235.5    3.0    312.0    4.0    154.0    2.0    312.0    4.0    35.0    208.0    154.0    2.0    52.5    235.5    158.0  
 3.0    7.0    12.0    0.0    2.0    0.0    294.0    312.8    4.0    118.0    145.6    2.0    239.0    3.0    36.0    1.0    239.0    3.0    294.0    118.0    36.0    1.0    312.8    145.6    157.0  
 3.0    7.0    5.0    0.0    1.0    0.0    22.0    34.3    1.0    309.0    335.2    4.0    225.0    3.0    137.0    2.0    225.0    3.0    22.0    309.0    137.0    2.0    34.3    335.2    88.0  
 3.0    7.0    12.0    0.0    2.0    1.0    202.0    213.7    3.0    307.0    334.0    4.0    136.0    2.0    34.0    1.0    136.0    2.0    202.0    307.0    34.0    1.0    213.7    334.0    102.0  
 3.0    7.0    12.0    0.0    2.0    0.0    49.0    68.8    1.0    307.0    329.3    4.0    117.0    2.0    221.0    3.0    117.0    2.0    49.0    307.0    221.0    3.0    68.8    329.3    104.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    221.0    210.6    3.0    313.0    292.6    4.0    27.0    1.0    115.0    2.0    221.0    3.0    313.0    27.0    210.6    3.0    292.6    115.0    10.4  
 1.0    7.0    12.0    -1.0    2.0    0.0    227.0    210.4    3.0    325.0    301.8    4.0    117.0    2.0    67.0    1.0    227.0    3.0    325.0    117.0    210.4    3.0    301.8    67.0    16.6  
 3.0    7.0    12.0    0.0    2.0    0.0    311.0    324.1    4.0    112.0    135.2    2.0    51.0    1.0    245.0    3.0    51.0    1.0    311.0    112.0    245.0    3.0    324.1    135.2    166.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    227.0    209.6    3.0    335.0    309.4    4.0    129.0    2.0    26.0    1.0    227.0    3.0    335.0    129.0    209.6    3.0    309.4    26.0    17.4  
 3.0    7.0    12.0    0.0    2.0    1.0    201.0    215.1    3.0    121.0    141.7    2.0    300.0    4.0    67.0    1.0    300.0    4.0    201.0    121.0    67.0    1.0    215.1    141.7    127.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    46.0    30.5    1.0    324.0    298.7    4.0    156.0    2.0    224.0    3.0    46.0    1.0    324.0    156.0    30.5    1.0    298.7    224.0    15.5  
 3.0    7.0    5.0    0.0    1.0    0.0    26.0    43.2    1.0    122.0    147.3    2.0    215.0    3.0    303.0    4.0    215.0    3.0    26.0    122.0    303.0    4.0    43.2    147.3    88.0  
 3.0    7.0    12.0    0.0    2.0    0.0    321.0    310.1    4.0    229.0    201.6    3.0    157.0    2.0    51.0    1.0    157.0    2.0    321.0    229.0    51.0    1.0    310.1    201.6    106.0  
 1.0    7.0    12.0    1.0    2.0    1.0    297.0    309.3    4.0    35.0    55.9    1.0    157.0    2.0    223.0    3.0    297.0    4.0    35.0    157.0    309.3    4.0    55.9    223.0    12.3  
 1.0    7.0    5.0    -1.0    1.0    1.0    229.0    217.0    3.0    148.0    127.1    2.0    336.0    4.0    25.0    1.0    229.0    3.0    148.0    336.0    217.0    3.0    127.1    25.0    12.0  
 3.0    7.0    5.0    0.0    1.0    1.0    123.0    112.8    2.0    62.0    40.1    1.0    210.0    3.0    330.0    4.0    210.0    3.0    123.0    62.0    330.0    4.0    112.8    40.1    120.0  
