 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 1.0    7.0    5.0    -1.0    1.0    0.0    59.0    46.3    1.0    321.0    298.9    4.0    122.0    2.0    234.0    3.0    59.0    1.0    321.0    122.0    46.3    1.0    298.9    234.0    12.7  
 1.0    7.0    12.0    -1.0    2.0    0.0    307.0    292.3    4.0    59.0    37.2    1.0    124.0    2.0    239.0    3.0    307.0    4.0    59.0    124.0    292.3    4.0    37.2    239.0    14.7  
 1.0    7.0    12.0    -1.0    2.0    0.0    234.0    223.2    3.0    143.0    120.6    2.0    59.0    1.0    299.0    4.0    234.0    3.0    143.0    59.0    223.2    3.0    120.6    299.0    10.8  
 1.0    7.0    5.0    -1.0    1.0    0.0    58.0    40.1    1.0    231.0    201.9    3.0    119.0    2.0    312.0    4.0    58.0    1.0    231.0    119.0    40.1    1.0    201.9    312.0    17.9  
 1.0    7.0    12.0    -1.0    2.0    1.0    134.0    121.8    2.0    48.0    27.1    1.0    219.0    3.0    329.0    4.0    134.0    2.0    48.0    219.0    121.8    2.0    27.1    329.0    12.2  
 3.0    7.0    12.0    0.0    2.0    0.0    62.0    45.1    1.0    233.0    204.5    3.0    300.0    4.0    123.0    2.0    300.0    4.0    62.0    233.0    123.0    2.0    45.1    204.5    177.0  
 3.0    7.0    5.0    0.0    1.0    1.0    141.0    122.1    2.0    338.0    309.7    4.0    30.0    1.0    215.0    3.0    30.0    1.0    141.0    338.0    215.0    3.0    122.1    309.7    175.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    124.0    112.4    2.0    336.0    314.4    4.0    57.0    1.0    213.0    3.0    124.0    2.0    336.0    57.0    112.4    2.0    314.4    213.0    11.6  
 1.0    7.0    5.0    -1.0    1.0    1.0    247.0    227.5    3.0    146.0    119.0    2.0    299.0    4.0    47.0    1.0    247.0    3.0    146.0    299.0    227.5    3.0    119.0    47.0    19.5  
 3.0    7.0    5.0    0.0    1.0    0.0    42.0    23.3    1.0    314.0    292.0    4.0    213.0    3.0    127.0    2.0    213.0    3.0    42.0    314.0    127.0    2.0    23.3    292.0    86.0  
 1.0    7.0    5.0    1.0    1.0    1.0    125.0    142.1    2.0    41.0    64.1    1.0    311.0    4.0    221.0    3.0    125.0    2.0    41.0    311.0    142.1    2.0    64.1    221.0    17.1  
 1.0    7.0    12.0    -1.0    2.0    0.0    214.0    201.8    3.0    133.0    111.1    2.0    50.0    1.0    322.0    4.0    214.0    3.0    133.0    50.0    201.8    3.0    111.1    322.0    12.2  
 3.0    7.0    12.0    0.0    2.0    0.0    122.0    141.6    2.0    296.0    316.1    4.0    27.0    1.0    221.0    3.0    27.0    1.0    122.0    296.0    221.0    3.0    141.6    316.1    166.0  
 3.0    7.0    5.0    0.0    1.0    0.0    134.0    119.2    2.0    239.0    215.2    3.0    311.0    4.0    30.0    1.0    311.0    4.0    134.0    239.0    30.0    1.0    119.2    215.2    79.0  
 3.0    7.0    12.0    0.0    2.0    1.0    54.0    34.3    1.0    153.0    124.0    2.0    228.0    3.0    322.0    4.0    228.0    3.0    54.0    153.0    322.0    4.0    34.3    124.0    94.0  
 1.0    7.0    12.0    -1.0    2.0    0.0    222.0    208.1    3.0    147.0    124.2    2.0    327.0    4.0    41.0    1.0    222.0    3.0    147.0    327.0    208.1    3.0    124.2    41.0    13.9  
 1.0    7.0    5.0    1.0    1.0    1.0    38.0    57.6    1.0    135.0    159.2    2.0    297.0    4.0    228.0    3.0    38.0    1.0    135.0    297.0    57.6    1.0    159.2    228.0    19.6  
 3.0    7.0    5.0    0.0    1.0    0.0    36.0    55.5    1.0    313.0    335.4    4.0    149.0    2.0    211.0    3.0    149.0    2.0    36.0    313.0    211.0    3.0    55.5    335.4    62.0  
 3.0    7.0    5.0    0.0    1.0    0.0    223.0    239.6    3.0    124.0    146.1    2.0    323.0    4.0    43.0    1.0    323.0    4.0    223.0    124.0    43.0    1.0    239.6    146.1    80.0  
 1.0    7.0    5.0    1.0    1.0    0.0    118.0    129.2    2.0    314.0    336.8    4.0    245.0    3.0    61.0    1.0    118.0    2.0    314.0    245.0    129.2    2.0    336.8    61.0    11.2  
 1.0    7.0    12.0    1.0    2.0    0.0    123.0    137.6    2.0    295.0    320.5    4.0    231.0    3.0    38.0    1.0    123.0    2.0    295.0    231.0    137.6    2.0    320.5    38.0    14.6  
 3.0    7.0    5.0    0.0    1.0    0.0    244.0    229.1    3.0    159.0    132.5    2.0    302.0    4.0    48.0    1.0    302.0    4.0    244.0    159.0    48.0    1.0    229.1    132.5    106.0  
 1.0    7.0    5.0    -1.0    1.0    0.0    68.0    48.8    1.0    224.0    203.5    3.0    315.0    4.0    116.0    2.0    68.0    1.0    224.0    315.0    48.8    1.0    203.5    116.0    19.2  
 3.0    7.0    5.0    0.0    1.0    1.0    39.0    25.4    1.0    245.0    223.8    3.0    294.0    4.0    125.0    2.0    294.0    4.0    39.0    245.0    125.0    2.0    25.4    223.8    169.0  
 3.0    7.0    5.0    0.0    1.0    1.0    227.0    242.9    3.0    131.0    156.2    2.0    296.0    4.0    59.0    1.0    296.0    4.0    227.0    131.0    59.0    1.0    242.9    156.2    123.0  
 1.0    7.0    5.0    -1.0    1.0    1.0    333.0    313.2    4.0    225.0    201.8    3.0    145.0    2.0    52.0    1.0    333.0    4.0    225.0    145.0    313.2    4.0    201.8    52.0    19.8  
 3.0    7.0    5.0    0.0    1.0    1.0    298.0    315.9    4.0    34.0    59.2    1.0    135.0    2.0    219.0    3.0    135.0    2.0    298.0    34.0    219.0    3.0    315.9    59.2    84.0  
 3.0    7.0    12.0    0.0    2.0    0.0    133.0    151.3    2.0    210.0    235.3    3.0    298.0    4.0    48.0    1.0    298.0    4.0    133.0    210.0    48.0    1.0    151.3    235.3    110.0  
