 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 56.0    56.0    14.0    3.0    55.0    0.0    0.0    0.0    46.242    4.739    46.242    46.746    50.463    51.3  
 217.0    223.0    14.0    3.0    215.0    1.0    1.0    0.0    57.27    4.736    57.27    57.773    61.487    62.591  
 157.0    157.0    14.0    3.0    155.0    0.0    1.0    1.0    67.309    4.737    67.309    67.813    71.528    72.713  
 21.0    21.0    14.0    3.0    25.0    0.0    0.0    0.0    78.36    4.745    78.36    78.863    82.586    83.905  
 87.0    87.0    14.0    3.0    85.0    0.0    0.0    0.0    89.417    4.746    89.417    89.921    93.644    94.529  
 338.0    328.0    14.0    3.0    335.0    1.0    1.0    0.0    100.555    4.733    100.555    101.057    104.769    105.721  
 64.0    64.0    14.0    3.0    65.0    0.0    0.0    0.0    111.05    4.744    111.05    111.554    115.276    116.463  
 309.0    316.0    14.0    3.0    305.0    1.0    1.0    0.0    122.438    4.732    122.438    122.941    126.651    127.687  
 318.0    326.0    14.0    3.0    315.0    1.0    1.0    0.0    132.931    4.745    132.931    133.435    137.158    138.061  
 142.0    142.0    14.0    3.0    145.0    0.0    1.0    1.0    143.24    4.744    143.24    143.743    147.466    149.753  
 199.0    207.0    14.0    3.0    195.0    1.0    1.0    0.0    154.427    4.733    154.427    154.93    158.641    159.643  
 162.0    162.0    14.0    3.0    165.0    0.0    0.0    0.0    165.512    4.738    165.512    166.016    169.732    170.502  
 41.0    41.0    14.0    3.0    45.0    0.0    0.0    0.0    177.083    4.742    177.083    177.588    181.307    182.526  
 242.0    235.0    14.0    3.0    245.0    1.0    0.0    1.0    188.658    4.742    188.658    189.162    192.882    193.868  
 98.0    98.0    14.0    3.0    95.0    0.0    999.0    999.0    198.633    4.741    198.633    199.137    202.856    205.374  
 118.0    118.0    14.0    3.0    115.0    0.0    0.0    0.0    209.307    4.743    209.307    209.81    213.531    214.282  
 131.0    131.0    14.0    3.0    135.0    0.0    0.0    0.0    219.933    4.74    219.933    220.437    224.155    224.874  
 284.0    289.0    14.0    3.0    285.0    1.0    0.0    1.0    231.366    4.732    231.366    231.87    235.58    236.549  
 176.0    176.0    14.0    3.0    175.0    0.0    0.0    0.0    242.041    4.732    242.041    242.544    246.254    247.106  
 324.0    332.0    14.0    3.0    325.0    1.0    1.0    0.0    252.516    4.747    252.516    253.02    256.745    258.081  
 7.0    7.0    14.0    3.0    5.0    0.0    0.0    0.0    262.406    4.749    262.406    262.91    266.636    267.404  
 127.0    127.0    14.0    3.0    125.0    0.0    0.0    0.0    272.957    4.738    272.957    273.461    277.176    278.012  
 184.0    176.0    14.0    3.0    185.0    1.0    1.0    0.0    283.647    4.739    283.647    284.15    287.868    289.27  
 347.0    341.0    14.0    3.0    345.0    1.0    1.0    0.0    295.339    4.74    295.339    295.842    299.56    300.762  
 73.0    73.0    14.0    3.0    75.0    0.0    0.0    0.0    305.28    4.739    305.28    305.783    309.5    310.486  
 266.0    273.0    14.0    3.0    265.0    1.0    1.0    0.0    316.171    4.738    316.171    316.675    320.391    321.377  
 279.0    273.0    14.0    3.0    275.0    1.0    0.0    1.0    327.532    4.736    327.532    328.036    331.75    332.735  
 104.0    104.0    14.0    3.0    105.0    0.0    0.0    0.0    338.551    4.742    338.551    339.054    342.774    343.676  
 297.0    305.0    14.0    3.0    295.0    1.0    1.0    0.0    348.375    4.742    348.375    348.878    352.598    353.651  
 236.0    244.0    14.0    3.0    235.0    1.0    1.0    0.0    358.85    4.741    358.85    359.353    363.072    364.525  
 202.0    208.0    14.0    3.0    205.0    1.0    0.0    1.0    369.624    4.742    369.624    370.127    373.847    375.116  
 256.0    261.0    14.0    3.0    255.0    1.0    1.0    0.0    379.688    4.734    379.688    380.192    383.904    385.823  
 12.0    12.0    14.0    3.0    15.0    0.0    0.0    0.0    389.475    4.738    389.475    389.979    393.694    394.48  
 32.0    32.0    14.0    3.0    35.0    0.0    0.0    0.0    400.865    4.739    400.865    401.369    405.086    406.072  
 226.0    216.0    14.0    3.0    225.0    1.0    0.0    1.0    411.717    4.745    411.717    412.221    415.944    417.062  
 352.0    344.0    14.0    3.0    355.0    1.0    1.0    0.0    422.155    4.732    422.155    422.658    426.368    428.454  
 42.707    42.707    42.707    42.707    42.707    42.707    42.707    42.707    42.707    42.707    42.707    42.707    42.707    42.707  
