 angle_target    angle_probe    radius    delay    angle_FCHB_delay    same_diff    Response    C_I_M    time_start_trial    display_time    presentation_target_time    present_CHB    presentation_probe_time    response_time  
 16.0    16.0    14.0    3.0    15.0    0.0    1.0    1.0    50.512    4.738    50.512    51.016    54.732    55.67  
 338.0    330.0    14.0    3.0    335.0    1.0    1.0    0.0    60.433    4.742    60.433    60.936    64.656    65.592  
 266.0    260.0    14.0    3.0    265.0    1.0    0.0    1.0    70.498    4.734    70.498    71.001    74.713    75.568  
 242.0    235.0    14.0    3.0    245.0    1.0    1.0    0.0    81.735    4.738    81.735    82.239    85.955    87.008  
 308.0    315.0    14.0    3.0    305.0    1.0    1.0    0.0    92.266    4.732    92.266    92.769    96.479    97.599  
 232.0    222.0    14.0    3.0    235.0    1.0    0.0    1.0    103.4    4.739    103.4    103.903    107.621    108.505  
 69.0    69.0    14.0    3.0    65.0    0.0    1.0    1.0    114.151    4.745    114.151    114.655    118.378    119.581  
 183.0    175.0    14.0    3.0    185.0    1.0    0.0    1.0    125.859    4.746    125.859    126.362    130.087    131.79  
 53.0    53.0    14.0    3.0    55.0    0.0    1.0    1.0    136.999    4.749    136.999    137.503    141.228    141.897  
 299.0    292.0    14.0    3.0    295.0    1.0    0.0    1.0    148.08    4.741    148.08    148.583    152.303    153.589  
 9.0    9.0    14.0    3.0    5.0    0.0    1.0    1.0    159.794    4.735    159.794    160.297    164.011    165.431  
 218.0    226.0    14.0    3.0    215.0    1.0    0.0    1.0    170.793    4.745    170.793    171.297    175.019    176.155  
 143.0    143.0    14.0    3.0    145.0    0.0    0.0    0.0    181.33    4.733    181.33    181.833    185.543    187.163  
 351.0    357.0    14.0    3.0    355.0    1.0    1.0    0.0    192.956    4.731    192.956    193.459    197.169    198.171  
 49.0    49.0    14.0    3.0    45.0    0.0    1.0    1.0    203.241    4.736    203.241    203.745    207.46    208.679  
 92.0    92.0    14.0    3.0    95.0    0.0    1.0    1.0    214.15    4.736    214.15    214.653    218.368    219.42  
 121.0    121.0    14.0    3.0    125.0    0.0    1.0    1.0    224.678    4.732    224.678    225.182    228.891    229.96  
 257.0    264.0    14.0    3.0    255.0    1.0    0.0    1.0    234.684    4.734    234.684    235.188    238.899    239.651  
 197.0    190.0    14.0    3.0    195.0    1.0    1.0    0.0    244.67    4.738    244.67    245.173    248.89    249.858  
 87.0    87.0    14.0    3.0    85.0    0.0    0.0    0.0    255.981    4.735    255.981    256.484    260.198    260.833  
 227.0    220.0    14.0    3.0    225.0    1.0    1.0    0.0    266.199    4.741    266.199    266.701    270.422    271.591  
 272.0    262.0    14.0    3.0    275.0    1.0    0.0    1.0    277.112    4.736    277.112    277.615    281.33    283.016  
 38.0    38.0    14.0    3.0    35.0    0.0    1.0    1.0    287.551    4.738    287.551    288.055    291.771    293.023  
 139.0    139.0    14.0    3.0    135.0    0.0    1.0    1.0    298.982    4.732    298.982    299.485    303.195    304.331  
 317.0    326.0    14.0    3.0    315.0    1.0    0.0    1.0    310.117    4.738    310.117    310.62    314.337    315.323  
 161.0    161.0    14.0    3.0    165.0    0.0    1.0    1.0    320.918    4.745    320.918    321.422    325.145    326.114  
 29.0    29.0    14.0    3.0    25.0    0.0    1.0    1.0    331.737    4.735    331.737    332.24    335.953    337.056  
 119.0    119.0    14.0    3.0    115.0    0.0    1.0    1.0    343.123    4.739    343.123    343.627    347.344    348.347  
 324.0    315.0    14.0    3.0    325.0    1.0    1.0    0.0    354.316    4.738    354.316    354.82    358.535    359.521  
 173.0    173.0    14.0    3.0    175.0    0.0    1.0    1.0    365.627    4.735    365.627    366.131    369.844    370.696  
 281.0    286.0    14.0    3.0    285.0    1.0    1.0    0.0    377.155    4.731    377.155    377.659    381.369    382.621  
 74.0    74.0    14.0    3.0    75.0    0.0    1.0    1.0    387.64    4.737    387.64    388.144    391.86    392.929  
 207.0    214.0    14.0    3.0    205.0    1.0    0.0    1.0    399.242    4.745    399.242    399.746    403.468    404.92  
 106.0    106.0    14.0    3.0    105.0    0.0    1.0    1.0    410.979    4.733    410.979    411.483    415.193    416.329  
 158.0    158.0    14.0    3.0    155.0    0.0    1.0    1.0    421.465    4.737    421.465    421.969    425.684    426.703  
 348.0    356.0    14.0    3.0    345.0    1.0    0.0    1.0    432.615    4.745    432.615    433.119    436.842    438.095  
 46.176    46.176    46.176    46.176    46.176    46.176    46.176    46.176    46.176    46.176    46.176    46.176    46.176    46.176  
